[0.03637354 0.63059866 0.33302778],[0.00052734 0.02789837 0.01050084],[0.00149154 0.07890851 0.02970087]
[0.11216938 0.06262518 0.82520545],[6.77919021e-02 9.42369941e-06 4.15583517e-05],[1.91744455e-01 2.66542470e-05 1.17544769e-04]
[0.01721926 0.01369878 0.96908194],[6.32603304e-02 2.04026586e-07 1.91776769e-07],[1.78927234e-01 5.77074330e-07 5.42426616e-07]
[0.01645875 0.31943852 0.66410273],[5.34937256e-02 5.84707660e-06 6.18754715e-05],[1.51303105e-01 1.65380301e-05 1.75010262e-04]
[0.02077462 0.38835406 0.5908714 ],[0.01034348 0.00075555 0.0340449 ],[0.02925577 0.00213702 0.09629353]
[0.17334296 0.01927664 0.8073803 ],[0.02089609 0.00853128 0.00021404],[0.05910307 0.02413011 0.00060539]
[0.269325   0.00702227 0.72365284],[3.50046766e-02 4.79322436e-04 1.33856964e-05],[9.90081768e-02 1.35572858e-03 3.78604667e-05]
[0.01706611 0.01420779 0.9687261 ],[6.25415831e-02 2.22306231e-07 1.87371859e-07],[1.76894310e-01 6.28776974e-07 5.29967648e-07]
[0.04236911 0.30743694 0.6501939 ],[0.03588426 0.0002354  0.0040293 ],[0.101496   0.00066582 0.01139659]
[0.098906   0.18249787 0.7185961 ],[0.007529   0.00112096 0.05092632],[0.02129523 0.00317054 0.1440414 ]
[0.04295235 0.03223907 0.9248086 ],[6.54600638e-02 1.79874454e-06 6.16366872e-06],[1.85149020e-01 5.08761786e-06 1.74334878e-05]
[0.18441506 0.00782354 0.80776143],[1.78460891e-02 4.55060620e-03 5.87307586e-05],[0.05047636 0.01287106 0.00016612]
[0.03241095 0.46118698 0.5064021 ],[0.00423237 0.00163537 0.07951711],[0.01197095 0.00462553 0.22490836]
[0.01744114 0.6812953  0.3012636 ],[0.00055918 0.00620973 0.04087028],[0.00158161 0.01756377 0.11559861]
[0.02078146 0.01546894 0.9637495 ],[6.48727659e-02 3.18324459e-07 2.77970987e-07],[1.83487891e-01 9.00357535e-07 7.86220679e-07]
[0.02082677 0.15928683 0.8198863 ],[5.16426696e-02 5.32871311e-06 6.33575342e-05],[1.46067527e-01 1.50718767e-05 1.79202168e-04]
[0.06709885 0.03343071 0.89947045],[6.89129747e-02 1.16025817e-06 2.23193984e-06],[1.94915327e-01 3.28170568e-06 6.31287918e-06]
[0.01576036 0.01444243 0.9697972 ],[6.23667684e-02 2.53809388e-07 1.97777493e-07],[1.76399859e-01 7.17881356e-07 5.59399226e-07]
[0.07853982 0.14371526 0.7777449 ],[8.84358342e-02 1.40767111e-04 8.94158325e-05],[0.25013431 0.00039815 0.00025291]
[0.02087834 0.02407119 0.9550505 ],[6.34665253e-02 5.40416747e-07 3.31834434e-07],[1.79510442e-01 1.52852938e-06 9.38569515e-07]
[0.03167785 0.26176336 0.70655876],[0.00725647 0.00072365 0.04262086],[0.0205244  0.00204678 0.12055   ]
[0.01545442 0.01892171 0.965624  ],[6.39066783e-02 3.03688873e-07 2.49668440e-07],[1.80755382e-01 8.58961845e-07 7.06168989e-07]
[0.03105454 0.40999568 0.5589498 ],[0.00938954 0.00081936 0.03808923],[0.02655763 0.00231749 0.10773262]
[0.02724282 0.01847802 0.9542791 ],[6.18303301e-02 1.25486976e-06 5.20840207e-06],[1.74882583e-01 3.54930767e-06 1.47315857e-05]
[0.14878727 0.06789567 0.7833171 ],[7.72774366e-02 8.09575822e-06 4.95827088e-06],[2.18573598e-01 2.28982621e-05 1.40241079e-05]
[0.09366918 0.11581139 0.7905194 ],[0.0782585  0.00013013 0.00035666],[0.22134845 0.00036806 0.00100878]
[0.01201278 0.5897571  0.39823017],[0.00504817 0.00088754 0.05705314],[0.01427838 0.00251033 0.16137065]
[0.05610036 0.42716038 0.51673925],[0.00190219 0.00330889 0.0910975 ],[0.0053802  0.00935895 0.25766265]
[0.0367272  0.03001984 0.933253  ],[6.44111160e-02 1.19497711e-06 5.83191371e-07],[1.82182148e-01 3.37990566e-06 1.64951429e-06]
[0.01700226 0.0220073  0.96099037],[6.70453601e-02 4.26683225e-07 4.85810597e-07],[1.89632915e-01 1.20684241e-06 1.37407987e-06]
[0.02306388 0.017008   0.9599282 ],[6.26591433e-02 8.34819474e-07 2.62136752e-06],[1.77226820e-01 2.36122604e-06 7.41434701e-06]
[0.04174426 0.22234932 0.7359065 ],[2.97891847e-02 5.67325271e-05 1.99162174e-03],[0.08425654 0.00016046 0.00563316]
[0.01603502 0.01512049 0.9688445 ],[6.42563222e-02 2.39544918e-07 2.26570059e-07],[1.81744325e-01 6.77535344e-07 6.40836901e-07]
[0.04197806 0.04332099 0.9147009 ],[7.39996152e-02 1.28790985e-05 5.64484330e-06],[2.09302519e-01 3.64275914e-05 1.59660279e-05]
[0.01613663 0.01904166 0.96482176],[6.52760319e-02 2.65366576e-07 2.74698210e-07],[1.84628499e-01 7.50570022e-07 7.76963869e-07]
[0.0223507  0.01287892 0.9647704 ],[6.36103876e-02 2.33894220e-07 2.11474016e-07],[1.79917346e-01 6.61552757e-07 5.98138843e-07]
[0.11714951 0.10075355 0.782097  ],[8.29354764e-02 2.12277547e-04 9.60215142e-05],[0.23457695 0.00060041 0.00027159]
[0.01058572 0.7597264  0.22968785],[0.00015495 0.01288098 0.01152635],[0.00043827 0.03643292 0.03260144]
[0.0373708 0.3789769 0.5836523],[0.03865435 0.00038518 0.00522797],[0.10933102 0.00108945 0.01478694]
[0.09071692 0.05632143 0.8529616 ],[7.25517129e-02 7.65018493e-06 3.48572390e-06],[2.05207233e-01 2.16379906e-05 9.85911603e-06]
[0.62320364 0.13343897 0.24335732],[0.00269054 0.00715403 0.07088964],[0.00761    0.02023465 0.20050617]
[0.02556813 0.2713422  0.70308965],[0.01413709 0.00023164 0.01335522],[0.03998572 0.00065518 0.03777426]
[0.13574083 0.05171765 0.81254154],[8.22326020e-02 4.52684740e-05 2.48670197e-05],[2.32588922e-01 1.28038580e-04 7.03345531e-05]
[0.01280507 0.0184672  0.96872777],[6.24067021e-02 1.87992106e-07 2.29166011e-07],[1.76512809e-01 5.31721972e-07 6.48179363e-07]
[0.92841005 0.00828202 0.0633079 ],[4.75304540e-07 1.78571439e-06 5.88826765e-02],[1.34436425e-06 5.05076303e-06 1.66545359e-01]
[0.04195713 0.04856872 0.9094742 ],[7.08411066e-02 2.70661236e-06 6.13904338e-06],[2.00368908e-01 7.65545582e-06 1.73638368e-05]
[0.15102875 0.07712141 0.7718499 ],[8.91395160e-02 7.66353670e-05 1.10908589e-04],[2.52124625e-01 2.16757551e-04 3.13696861e-04]
[0.01919789 0.01641964 0.9643825 ],[6.79636139e-02 5.02729966e-07 5.81382016e-07],[1.92230129e-01 1.42193507e-06 1.64439666e-06]
[0.02497497 0.16218555 0.81283945],[6.80002246e-02 1.54130441e-06 3.65352341e-06],[1.92333680e-01 4.35946720e-06 1.03337247e-05]
[0.03409038 0.21457992 0.75132966],[6.43981139e-02 8.22708891e-06 4.24588346e-05],[1.82145372e-01 2.32697214e-05 1.20091719e-04]
[0.09498702 0.10698595 0.79802704],[8.00446955e-02 8.96137891e-06 6.43681118e-06],[2.26400588e-01 2.53466072e-05 1.82060513e-05]
[0.01679416 0.01469298 0.9685128 ],[6.35911192e-02 1.99531697e-07 2.08288638e-07],[1.79862847e-01 5.64360863e-07 5.89129233e-07]
[0.03231656 0.03164206 0.93604136],[6.48303414e-02 3.70202838e-07 3.03171354e-07],[1.83367896e-01 1.04709175e-06 8.57498081e-07]
[0.07878272 0.06421118 0.857006  ],[7.66413015e-02 4.32528010e-06 6.93225153e-06],[2.16774336e-01 1.22337396e-05 1.96073683e-05]
[0.01782974 0.05581877 0.9263514 ],[7.52051677e-02 3.17066817e-06 5.09807234e-06],[2.12712336e-01 8.96800385e-06 1.44195261e-05]
[0.05100308 0.25538096 0.69361603],[0.02411969 0.00075634 0.01606772],[0.06822078 0.00213924 0.04544639]
[0.01853957 0.02062282 0.9608376 ],[6.80608509e-02 1.78512579e-06 9.61375110e-07],[1.92505157e-01 5.04909819e-06 2.71917944e-06]
[0.14122307 0.18854545 0.6702315 ],[0.09538918 0.00044076 0.00048165],[0.26980133 0.00124666 0.00136232]
[0.0901372  0.07186422 0.83799857],[8.39869763e-02 9.07226288e-05 4.89466394e-05],[2.37551042e-01 2.56602344e-04 1.38442002e-04]
[0.04347966 0.04526147 0.9112589 ],[7.47965894e-02 7.23835985e-06 3.89688039e-06],[2.11556702e-01 2.04731733e-05 1.10220422e-05]
[0.01708728 0.05655285 0.92635983],[6.24982069e-02 3.43642326e-07 6.71404577e-07],[1.76771624e-01 9.71967277e-07 1.89901892e-06]
[0.02255219 0.6442977  0.3331501 ],[0.00111854 0.00463573 0.06537319],[0.00316372 0.01311184 0.1849033 ]
[0.01289007 0.7553142  0.23179585],[2.08213372e-05 3.00102268e-02 8.89342427e-04],[5.88916348e-05 8.48817394e-02 2.51544024e-03]
[0.02176644 0.01676654 0.96146697],[6.60623882e-02 3.81951918e-07 4.59584669e-07],[1.86852651e-01 1.08032317e-06 1.29990174e-06]
[0.01195556 0.04020423 0.9478403 ],[7.12985872e-02 2.55084438e-06 5.38802370e-06],[2.01662858e-01 7.21487745e-06 1.52396324e-05]
[0.08105507 0.05924456 0.85970026],[4.41734483e-02 8.25341863e-06 1.60012675e-04],[1.24941379e-01 2.33441931e-05 4.52584191e-04]
[0.02240875 0.018008   0.95958316],[6.02479047e-02 9.24013169e-07 4.11954996e-06],[1.70406808e-01 2.61350391e-06 1.16518468e-05]
[0.25448516 0.02826119 0.7172536 ],[0.01163554 0.01558394 0.00021569],[0.03291029 0.04407804 0.00061006]
[0.02231008 0.01706267 0.9606272 ],[6.57298606e-02 3.09812496e-07 3.39324137e-07],[1.85912121e-01 8.76282067e-07 9.59753592e-07]
[0.0333691  0.05839006 0.9082408 ],[6.77605006e-02 1.07980561e-06 2.25347700e-06],[1.91655638e-01 3.05415147e-06 6.37379547e-06]
[0.05802855 0.02014193 0.9218295 ],[6.43526183e-02 2.41851648e-07 2.67726784e-07],[1.82016691e-01 6.84059760e-07 7.57245697e-07]
[0.25862592 0.06804849 0.6733256 ],[0.03354187 0.00439941 0.00022246],[0.09487074 0.0124434  0.00062922]
[0.15527841 0.07797717 0.76674443],[7.64237795e-02 5.67445467e-05 1.67897125e-04],[2.16159091e-01 1.60497815e-04 4.74884782e-04]
[0.04100369 0.07850619 0.88049   ],[7.96993945e-02 1.44058886e-05 2.65036769e-05],[2.25423929e-01 4.07460061e-05 7.49637187e-05]
[0.02420934 0.03091696 0.94487375],[6.54407133e-02 3.29884736e-07 2.97020763e-07],[1.85094289e-01 9.33054935e-07 8.40101582e-07]
[0.0409604  0.05611291 0.9029267 ],[7.38301905e-02 2.02427929e-06 2.92783212e-06],[2.08823313e-01 5.72552644e-06 8.28115979e-06]
[0.02000794 0.02849543 0.9514967 ],[6.56656064e-02 3.60297712e-07 3.18334029e-07],[1.85730382e-01 1.01907582e-06 9.00384602e-07]
[0.01470836 0.01481236 0.97047925],[6.35093677e-02 1.98589626e-07 2.09452835e-07],[1.79631618e-01 5.61696285e-07 5.92422080e-07]
[0.03272605 0.0317238  0.9355502 ],[6.65964554e-02 5.92120772e-07 9.57217740e-07],[1.88363221e-01 1.67477045e-06 2.70742062e-06]
[0.01797456 0.01735852 0.96466696],[6.59629860e-02 2.89067456e-07 2.88509460e-07],[1.86571499e-01 8.17606233e-07 8.16027983e-07]
[0.02781877 0.18790449 0.7842767 ],[5.93346054e-02 8.15498310e-06 6.21386950e-05],[1.67823607e-01 2.30657754e-05 1.75754770e-04]
[0.04494589 0.14496122 0.81009287],[5.02171741e-02 2.73864420e-05 3.42796521e-04],[1.42035617e-01 7.74605555e-05 9.69574978e-04]
[0.09939754 0.11376242 0.78684014],[9.04122629e-02 3.74543766e-05 4.06797614e-05],[2.55724497e-01 1.05936975e-04 1.15059741e-04]
[0.01871139 0.03008177 0.9512069 ],[6.46029482e-02 2.62899562e-07 2.99767759e-07],[1.82724731e-01 7.43592252e-07 8.47871261e-07]
[0.02282559 0.01698078 0.96019363],[6.40702590e-02 2.27406311e-07 2.17233671e-07],[1.81218058e-01 6.43202179e-07 6.14429606e-07]
[0.0219292  0.01759356 0.9604772 ],[7.06387829e-02 8.89423548e-07 1.14379509e-06],[1.99796650e-01 2.51566969e-06 3.23514107e-06]
[0.02853902 0.02191654 0.9495444 ],[6.51678175e-02 2.85998415e-07 2.68397180e-07],[1.84322423e-01 8.08925676e-07 7.59141865e-07]
[0.01922554 0.02062026 0.9601542 ],[6.51208842e-02 2.99037203e-07 3.48417521e-07],[1.84189675e-01 8.45804937e-07 9.85473567e-07]
[0.03587462 0.2615027  0.7026227 ],[3.70529352e-02 7.43632252e-05 1.57293261e-03],[0.10480153 0.00021033 0.00444893]
[0.04292111 0.04110754 0.9159714 ],[7.16140300e-02 1.10730248e-06 1.43023776e-06],[2.02555065e-01 3.13192437e-06 4.04532327e-06]
[0.3808013  0.02017097 0.5990278 ],[0.01035952 0.01714781 0.0002157 ],[0.02930115 0.04850134 0.00061008]
[0.02562238 0.02789533 0.94648236],[7.41086895e-02 1.24712845e-06 1.22752757e-06],[2.09611027e-01 3.52741193e-06 3.47197228e-06]
[0.05112152 0.25437266 0.6945058 ],[0.04797731 0.00014533 0.00160947],[0.13570031 0.00041104 0.00455228]
[0.90659064 0.01443996 0.0789694 ],[5.67419619e-07 2.12805963e-06 5.96139864e-02],[1.60490504e-06 6.01906159e-06 1.68613816e-01]
[0.5270885  0.03211648 0.440795  ],[0.00694595 0.08364099 0.00310776],[0.01964613 0.23657245 0.00879007]
[0.12253031 0.1952172  0.6822525 ],[0.05713026 0.005187   0.00078822],[0.16158878 0.01467106 0.00222941]
[0.40234667 0.08650354 0.5111498 ],[0.0257797  0.02881473 0.00220397],[0.072916   0.08150036 0.00623376]
[0.12021205 0.09505035 0.7847376 ],[8.78841456e-02 7.91357462e-05 5.41587408e-05],[2.48573901e-01 2.23829691e-04 1.53184051e-04]
[0.05234432 0.01873375 0.92892194],[6.67189583e-02 1.11777344e-06 6.59122377e-07],[1.88709711e-01 3.16154073e-06 1.86427961e-06]
[0.13790186 0.05538996 0.80670816],[0.01319397 0.01830876 0.00034556],[0.03731818 0.051785   0.00097738]
[0.01219407 0.54120994 0.44659594],[0.00094904 0.00367774 0.0683113 ],[0.00268429 0.01040221 0.19321352]
[0.03669136 0.01978874 0.9435199 ],[7.53810622e-02 1.70865008e-06 1.64265464e-06],[2.13209841e-01 4.83279223e-06 4.64612893e-06]
[0.14439976 0.03989629 0.8157039 ],[4.54851496e-02 2.25716476e-04 1.27961330e-05],[1.28651431e-01 6.38422603e-04 3.61929296e-05]
[0.73674333 0.03901131 0.22424543],[0.00056923 0.00393506 0.05364688],[0.00161001 0.01113003 0.15173629]
[0.15508914 0.04110953 0.8038013 ],[5.71765981e-02 2.19138052e-04 2.55339877e-05],[1.61719841e-01 6.19816010e-04 7.22210235e-05]
[0.02543762 0.0780174  0.89654493],[7.58675535e-02 1.89974342e-06 1.82607259e-06],[2.14585846e-01 5.37328581e-06 5.16491325e-06]
[0.13614269 0.24481499 0.61904234],[0.00204911 0.00504439 0.0792161 ],[0.00579575 0.01426768 0.22405696]
[0.05848192 0.38268706 0.55883104],[0.01814607 0.0016619  0.03533716],[0.05132484 0.00470055 0.09994859]
[0.01763663 0.21433364 0.76802975],[4.52319352e-02 1.02282116e-05 1.85004690e-04],[1.27935232e-01 2.89297511e-05 5.23272283e-04]
[0.02254349 0.0418325  0.93562406],[6.27309915e-02 5.24280691e-07 1.27662429e-06],[1.77430038e-01 1.48288973e-06 3.61083876e-06]
[0.02666078 0.01348123 0.959858  ],[6.50023225e-02 2.46293016e-07 2.48118003e-07],[1.83854332e-01 6.96621847e-07 7.01783689e-07]
[0.0271548  0.18538094 0.7874643 ],[6.36174571e-02 2.82020946e-05 1.62092149e-04],[1.79937341e-01 7.97675694e-05 4.58465832e-04]
[0.36059213 0.03471297 0.60469496],[0.03449128 0.00298747 0.00013963],[0.09755607 0.00844983 0.00039493]
[0.02086591 0.06331144 0.9158227 ],[6.57173042e-02 1.36249454e-06 3.87253751e-06],[1.85876606e-01 3.85371652e-06 1.09531901e-05]
[0.02787438 0.04715944 0.9249663 ],[7.36518952e-02 1.87614933e-06 2.64608274e-06],[2.08319018e-01 5.30655164e-06 7.48425220e-06]
[0.0206766  0.01591921 0.9634042 ],[6.53937050e-02 2.78675619e-07 2.69877105e-07],[1.84961329e-01 7.88213680e-07 7.63327725e-07]
[0.02228191 0.02728014 0.95043796],[6.92924635e-02 6.33766822e-07 7.52014511e-07],[1.95988683e-01 1.79256327e-06 2.12701824e-06]
[0.06276011 0.0285766  0.90866333],[7.45349344e-02 3.09104436e-06 2.17406613e-06],[2.10816630e-01 8.74279370e-06 6.14918763e-06]
[0.020156   0.33444273 0.64540124],[0.00641321 0.00077118 0.04765197],[0.01813928 0.00218122 0.13478011]
[0.01844433 0.0167877  0.96476805],[6.58661465e-02 3.13162495e-07 3.40268839e-07],[1.86297595e-01 8.85757295e-07 9.62425615e-07]
[0.05329601 0.07023324 0.8764708 ],[7.76060677e-02 1.33048679e-05 2.90230113e-05],[2.19503107e-01 3.76318492e-05 8.20894723e-05]
[0.09498256 0.05943112 0.84558636],[8.29198666e-02 7.37710337e-05 3.92361901e-05],[2.34532800e-01 2.08655993e-04 1.10976704e-04]
[0.03020624 0.03146599 0.93832785],[7.44071605e-02 1.75622781e-06 2.16894482e-06],[2.10455231e-01 4.96736238e-06 6.13470236e-06]
[0.02066131 0.07490654 0.9044321 ],[6.65135184e-02 1.16372401e-06 2.85310587e-06],[1.88128640e-01 3.29150856e-06 8.06980203e-06]
[0.11577386 0.22239141 0.6618347 ],[0.01468689 0.00060927 0.02252164],[0.0415408  0.00172327 0.06370083]
[0.03002721 0.24133977 0.72863305],[3.27929054e-02 6.83609543e-05 2.09705404e-03],[0.09275234 0.00019335 0.00593136]
[0.03504264 0.07843723 0.88652   ],[6.77919662e-02 1.02334288e-06 2.08466122e-06],[1.91744636e-01 2.89445075e-06 5.89631233e-06]
[0.02957906 0.02773452 0.9426864 ],[6.47600985e-02 4.94777040e-07 3.55596159e-07],[1.83169219e-01 1.39944080e-06 1.00577782e-06]
[0.01153985 0.03394849 0.95451164],[6.36922595e-02 2.10714014e-07 2.28813315e-07],[1.80148914e-01 5.95989232e-07 6.47181786e-07]
[0.02538511 0.02944367 0.9451712 ],[6.88874178e-02 5.73057121e-07 6.52096885e-07],[1.94843041e-01 1.62085030e-06 1.84440852e-06]
[0.17392926 0.14240764 0.6836631 ],[0.05059839 0.00022359 0.00207743],[0.14311385 0.00063242 0.00587586]
[0.04719551 0.02762539 0.92517906],[7.75933268e-02 2.80398613e-06 2.56223361e-06],[2.19467070e-01 7.93087042e-06 7.24709105e-06]
[0.02823251 0.02437818 0.94738936],[6.42996246e-02 2.16754519e-07 2.16661565e-07],[1.81866802e-01 6.13074360e-07 6.12811449e-07]
[0.11202364 0.08936849 0.7986078 ],[8.30912072e-02 8.97872733e-05 2.04485649e-04],[0.23501742 0.00025396 0.00057837]
[0.00665684 0.9414774  0.05186573],[3.68209916e-07 6.02841596e-02 9.79688164e-07],[1.04145491e-06 1.70509352e-01 2.77097658e-06]
[0.04116368 0.16426297 0.79457337],[7.01246292e-02 1.94862354e-05 7.61116557e-05],[1.98342403e-01 5.51153968e-05 2.15276271e-04]
[0.02028032 0.01275858 0.9669611 ],[6.35285328e-02 2.06905129e-07 2.27126023e-07],[1.79685825e-01 5.85216079e-07 6.42409404e-07]
[0.03606454 0.03607053 0.92786497],[7.04159834e-02 1.12488852e-06 1.68971879e-06],[1.99166477e-01 3.18166521e-06 4.77924646e-06]
[0.01423966 0.01632058 0.9694398 ],[6.32216201e-02 2.05835841e-07 1.91903934e-07],[1.78817745e-01 5.82191676e-07 5.42786293e-07]
[0.8481771  0.01001846 0.14180444],[4.99735576e-06 7.53118044e-05 4.84917703e-02],[1.41346566e-05 2.13013950e-04 1.37155438e-01]
[0.05529606 0.27775055 0.66695344],[0.03038369 0.0002434  0.00585381],[0.08593806 0.00068844 0.01655708]
[0.19846734 0.04925259 0.75228006],[4.65042523e-02 5.25876765e-04 3.50690899e-05],[1.31533889e-01 1.48740411e-03 9.91903651e-05]
[0.20192079 0.01422082 0.7838583 ],[2.77985755e-02 1.31082261e-03 2.51914885e-05],[7.86262451e-02 3.70756623e-03 7.12522894e-05]
[0.09178062 0.02947445 0.8787449 ],[3.66557541e-02 4.83523266e-04 1.55923828e-05],[1.03678129e-01 1.36761032e-03 4.41019183e-05]
[0.04023204 0.2667389  0.6930291 ],[7.84305908e-02 9.17205186e-06 1.64290654e-05],[2.21835210e-01 2.59424803e-05 4.64684142e-05]
[0.57811636 0.01849627 0.40338737],[1.36623451e-05 4.11736237e-04 3.73745028e-02],[3.86429475e-05 1.16456594e-03 1.05711057e-01]
[0.06788384 0.13048202 0.80163413],[8.70985546e-02 1.65677920e-05 1.80959724e-05],[2.46351914e-01 4.68607923e-05 5.11831390e-05]
[0.04199219 0.06750836 0.8904994 ],[6.92107188e-02 1.57999897e-06 3.39713415e-06],[1.95757474e-01 4.46891195e-06 9.60854637e-06]
[0.04198307 0.0314411  0.92657584],[7.20484313e-02 9.76911852e-07 9.06530530e-07],[2.03783737e-01 2.76312398e-06 2.56405554e-06]
[0.18660577 0.08927651 0.7241177 ],[0.09754401 0.00103898 0.0007926 ],[0.27589611 0.00293869 0.00224181]
[0.09049566 0.08691371 0.8225906 ],[7.96487587e-02 1.63243922e-05 3.33577109e-05],[2.25280710e-01 4.61723538e-05 9.43498543e-05]
[0.01719485 0.0179375  0.9648676 ],[7.08186468e-02 9.47663479e-07 8.06623705e-07],[2.00305381e-01 2.68039709e-06 2.28147637e-06]
[0.61391443 0.02404358 0.36204195],[0.00076738 0.05046517 0.00552849],[0.00217049 0.14273707 0.01563694]
[0.10935698 0.05013461 0.84050846],[8.33806141e-02 7.83994992e-06 7.95924679e-06],[2.35835991e-01 2.21747270e-05 2.25121495e-05]
[0.04888991 0.04720272 0.9039074 ],[7.26701175e-02 1.13832309e-06 1.09953750e-06],[2.05542132e-01 3.21966389e-06 3.10996169e-06]
[0.2335208  0.01429099 0.7521882 ],[3.67049967e-02 8.10067575e-04 3.08117847e-05],[1.03817408e-01 2.29121710e-03 8.71488876e-05]
[0.03129607 0.05886284 0.9098411 ],[6.54819519e-02 2.03102854e-06 7.09183915e-06],[1.85210929e-01 5.74461622e-06 2.00587502e-05]
[0.02835568 0.01717227 0.954472  ],[7.09941236e-02 3.46896086e-06 1.83284716e-06],[2.00801705e-01 9.81170298e-06 5.18407462e-06]
[0.02333738 0.01301839 0.96364427],[6.43259782e-02 2.27770369e-07 2.22404269e-07],[1.81941341e-01 6.44231889e-07 6.29054268e-07]
