[0.20466524 0.06867824 0.7266565 ],[0.02071625 0.01664872 0.0006522 ],[0.05859441 0.04708969 0.0018447 ]
[0.02942616 0.02978831 0.9407856 ],[6.35694103e-02 3.63825317e-07 6.31770309e-07],[1.79801444e-01 1.02905340e-06 1.78691628e-06]
[0.0180252  0.01085424 0.97112054],[5.86042145e-02 1.44926015e-07 1.08924800e-07],[1.65757750e-01 4.09912673e-07 3.08085858e-07]
[0.03149088 0.13636221 0.8321469 ],[5.70488169e-02 2.77434418e-06 2.10311457e-05],[1.61358421e-01 7.84703034e-06 5.94850631e-05]
[0.01403339 0.03412402 0.9518425 ],[6.23710508e-02 2.56800320e-07 3.89773842e-07],[1.76411972e-01 7.26340990e-07 1.10244691e-06]
[0.20079932 0.0069311  0.7922696 ],[3.00819456e-02 1.01187227e-03 2.58702299e-05],[8.50845910e-02 2.86200699e-03 7.31720600e-05]
[0.02690645 0.08195341 0.89114004],[7.53650184e-02 2.35829326e-05 6.75877342e-05],[2.13164462e-01 6.67026061e-05 1.91166981e-04]
[0.093145   0.02441216 0.8824428 ],[6.44747740e-02 1.67016798e-06 7.05308067e-07],[1.82362200e-01 4.72394841e-06 1.99491247e-06]
[0.13996616 0.00644346 0.85359037],[6.00002287e-02 9.08903423e-07 3.43695570e-07],[1.69706274e-01 2.57076710e-06 9.72117872e-07]
[0.02049371 0.11924354 0.8602627 ],[6.29192045e-02 1.97320648e-06 8.31842032e-06],[1.77962385e-01 5.58107074e-06 2.35280457e-05]
[0.01561673 0.28396177 0.7004215 ],[2.35110498e-02 8.48151937e-05 3.69928629e-03],[0.06649929 0.00023989 0.01046316]
[0.00430425 0.01545837 0.9802373 ],[5.89472917e-02 5.33550167e-07 2.09028125e-06],[1.66728119e-01 1.50910777e-06 5.91220820e-06]
[0.01047584 0.00680995 0.9827141 ],[5.99721179e-02 1.26794535e-07 1.16243442e-07],[1.69626765e-01 3.58629102e-07 3.28786104e-07]
[0.04930133 0.1577857  0.792913  ],[0.05542097 0.0001846  0.00137581],[0.15675417 0.00052212 0.00389137]
[0.03492009 0.5714699  0.39361003],[4.81151047e-06 4.63691454e-02 8.24806220e-05],[1.36090067e-05 1.31151749e-01 2.33290429e-04]
[0.029476   0.04103058 0.92949337],[6.42337534e-02 7.43864190e-07 1.87401929e-06],[1.81680491e-01 2.10396565e-06 5.30052700e-06]
