[0.23780301 0.06655245 0.69564456],[0.09314851 0.00019998 0.00015285],[0.26346378 0.00056563 0.00043232]
[0.06578367 0.0842639  0.8499524 ],[6.34130882e-02 3.66880970e-06 1.85687236e-05],[1.79359299e-01 1.03769609e-05 5.25202816e-05]
[0.11974438 0.01394775 0.866308  ],[7.05464959e-02 4.09873514e-06 2.03218508e-06],[1.99535623e-01 1.15929736e-05 5.74788741e-06]
[0.0479154 0.0250657 0.9270189],[8.09525315e-02 7.84149637e-06 1.10492675e-05],[2.28968336e-01 2.21791010e-05 3.12520480e-05]
[0.29390648 0.03246716 0.67362636],[0.03296163 0.00426376 0.00019791],[0.09322957 0.01205975 0.00055978]
[0.23091313 0.06153038 0.70755655],[2.83822310e-02 2.95754020e-03 9.06898744e-05],[0.08027707 0.00836519 0.00025651]
[0.08292005 0.06823841 0.8488415 ],[7.23496645e-02 1.26142555e-05 3.94999120e-05],[2.04635753e-01 3.56785023e-05 1.11722622e-04]
[0.01450692 0.05437933 0.9311138 ],[6.90639572e-02 7.66470435e-07 6.29321398e-07],[1.95342370e-01 2.16790577e-06 1.77998971e-06]
[0.03905979 0.33923778 0.62170243],[0.02756009 0.00022128 0.00585685],[0.07795172 0.00062587 0.01656567]
[0.0381129  0.03169436 0.9301928 ],[6.51659505e-02 2.57069890e-07 2.62322991e-07],[1.84317142e-01 7.27103451e-07 7.41961464e-07]
[0.01779653 0.08434138 0.897862  ],[7.46237170e-02 4.04979551e-06 7.83046956e-06],[2.11067745e-01 1.14545515e-05 2.21479125e-05]
[0.01665196 0.01733592 0.9660121 ],[6.38828841e-02 2.26536093e-07 2.55460334e-07],[1.80688082e-01 6.40740829e-07 7.22550937e-07]
[0.01538403 0.0145089  0.9701071 ],[6.35536690e-02 2.04923624e-07 2.21663835e-07],[1.79756921e-01 5.79611535e-07 6.26960005e-07]
[0.05395844 0.04513304 0.9009085 ],[7.36004017e-02 1.49785727e-06 1.31237738e-06],[2.08173373e-01 4.23658012e-06 3.71196379e-06]
[0.01953572 0.03146955 0.94899476],[6.78055675e-02 4.59843459e-07 4.35886469e-07],[1.91783106e-01 1.30063371e-06 1.23287311e-06]
[0.107821   0.05301785 0.83916116],[4.48772925e-02 4.53507139e-04 2.70631587e-05],[1.26932151e-01 1.28271189e-03 7.65461721e-05]
[0.0822271  0.10145682 0.8163161 ],[8.11153155e-02 1.00935694e-05 7.49719353e-06],[2.29428759e-01 2.85489255e-05 2.12052655e-05]
[0.0424035  0.03355585 0.9240406 ],[6.40042789e-02 1.65406154e-06 6.77739017e-07],[1.81031438e-01 4.67839252e-06 1.91693542e-06]
[0.03106001 0.02439207 0.94454795],[4.45211473e-02 3.59030646e-04 2.02131298e-05],[1.25924821e-01 1.01549202e-03 5.71713647e-05]
[0.06608264 0.02708123 0.90683603],[7.31384645e-02 3.81911950e-06 8.13295157e-06],[2.06866817e-01 1.08021012e-05 2.30034608e-05]
[0.01966402 0.19177109 0.78856486],[4.76390468e-02 1.85919568e-05 2.81650890e-04],[1.34743572e-01 5.25859949e-05 7.96629016e-04]
[0.01739358 0.01640346 0.966203  ],[6.43179688e-02 2.18885854e-07 2.20574366e-07],[1.81918687e-01 6.19102687e-07 6.23878521e-07]
[0.01393252 0.01589266 0.97017485],[6.35385042e-02 1.95387723e-07 2.01161454e-07],[1.79714029e-01 5.52639936e-07 5.68970513e-07]
[0.10714515 0.2240656  0.66878927],[0.0562311  0.0005781  0.00353208],[0.15904557 0.00163511 0.00999024]
[0.01210868 0.60008377 0.38780752],[0.00408915 0.00128618 0.07345015],[0.01156585 0.00363786 0.2077484 ]
[0.0208412  0.03020052 0.9489583 ],[6.77628390e-02 7.17988631e-07 1.13362846e-06],[1.91662252e-01 2.03077852e-06 3.20638549e-06]
[0.5557822  0.04695284 0.397265  ],[0.00519029 0.10787922 0.00504911],[0.01468035 0.30512852 0.01428105]
[0.1377422  0.07463812 0.78761977],[5.64325339e-02 1.49986869e-04 1.62435563e-05],[1.59615310e-01 4.24226929e-04 4.59437153e-05]
[0.0124284  0.01996821 0.9676033 ],[6.32320734e-02 1.95285141e-07 2.13039195e-07],[1.78847311e-01 5.52349790e-07 6.02565837e-07]
[0.38102213 0.01662221 0.6023557 ],[0.00500212 0.05567963 0.00082216],[0.01414812 0.15748577 0.00232541]
[0.2022865  0.01484326 0.7828703 ],[2.65316935e-02 2.96468483e-03 7.13113951e-05],[0.07504296 0.00838539 0.0002017 ]
[0.11379723 0.16239351 0.7238093 ],[0.06823155 0.00013379 0.0006084 ],[0.19298796 0.00037841 0.00172081]
[0.01284123 0.02372088 0.96343786],[6.33278676e-02 2.70547695e-07 3.74961328e-07],[1.79118258e-01 7.65224438e-07 1.06055079e-06]
[0.02019208 0.31697848 0.6628294 ],[7.95016709e-02 2.49474883e-05 5.49010551e-05],[2.24864683e-01 7.05621527e-05 1.55283633e-04]
[0.01406557 0.01626942 0.96966505],[6.26881061e-02 2.16158754e-07 1.87222207e-07],[1.77308740e-01 6.11389283e-07 5.29544369e-07]
[0.01655583 0.59697783 0.3864664 ],[0.00460639 0.00135114 0.07054275],[0.01302884 0.0038216  0.19952502]
[0.22480726 0.04955087 0.72564185],[2.99918749e-02 2.18357106e-03 6.80800855e-05],[0.08482983 0.00617607 0.00019256]
[0.03269078 0.01552446 0.95178473],[6.94315170e-02 6.15322201e-07 5.83430091e-07],[1.96381986e-01 1.74039400e-06 1.65018950e-06]
[0.02794073 0.39360645 0.5784528 ],[0.00474714 0.0008559  0.05810503],[0.01342693 0.00242085 0.16434584]
[0.04246168 0.05228024 0.90525806],[6.86065062e-02 1.25379197e-06 2.60304978e-06],[1.94048503e-01 3.54625922e-06 7.36253661e-06]
[0.01627703 0.01762938 0.9660936 ],[6.54781794e-02 3.32282512e-07 3.95354960e-07],[1.85200259e-01 9.39836869e-07 1.11823269e-06]
[0.07855739 0.14886905 0.77257353],[6.58701317e-02 3.44193460e-04 6.48771703e-05],[1.86308867e-01 9.73526118e-04 1.83500348e-04]
[0.37295532 0.02677942 0.6002652 ],[0.00428893 0.08420729 0.00197188],[0.01213092 0.23817419 0.00557731]
[0.02700638 0.02768319 0.94531053],[7.30283038e-02 1.13617061e-06 1.06762345e-06],[2.06555235e-01 3.21357576e-06 3.01969513e-06]
[0.00885525 0.91764104 0.07350368],[2.45399018e-06 5.31122352e-02 2.54055304e-05],[6.94093238e-06 1.50224087e-01 7.18576914e-05]
[0.05209763 0.27225778 0.67564464],[0.05398868 0.00017532 0.00142263],[0.15270306 0.00049589 0.00402381]
[0.14574316 0.04505382 0.809203  ],[6.64972663e-02 1.90230581e-05 4.72925880e-06],[1.88082672e-01 5.38053336e-05 1.33763639e-05]
[0.06757103 0.07813016 0.8542988 ],[8.38116375e-02 9.03847807e-06 1.01318104e-05],[2.37055109e-01 2.55646765e-05 2.86570874e-05]
[0.04760055 0.3623218  0.59007764],[4.65282069e-02 7.96891145e-05 1.05318488e-03],[0.13160164 0.00022539 0.00297886]
[0.06829786 0.07508814 0.85661393],[7.94307583e-02 3.55370817e-06 3.37949016e-06],[2.24664111e-01 1.00514046e-05 9.55864162e-06]
[0.03645063 0.06676751 0.89678186],[7.16198400e-02 2.03001735e-04 5.05896292e-05],[2.02571498e-01 5.74175614e-04 1.43089079e-04]
[0.19479983 0.00683478 0.7983654 ],[0.01095592 0.014288   0.00016171],[0.03098802 0.04041257 0.00045738]
[0.02887685 0.03729059 0.9338326 ],[6.94042253e-02 1.18550228e-06 2.10061774e-06],[1.96304793e-01 3.35310680e-06 5.94144420e-06]
[0.00870312 0.96638775 0.02490909],[2.28061106e-07 6.12305514e-02 3.74681425e-07],[6.45054217e-07 1.73186152e-01 1.05975911e-06]
[0.10479122 0.050287   0.84492177],[8.52323140e-02 2.73036077e-05 2.08848194e-05],[2.41073389e-01 7.72262646e-05 5.90711897e-05]
[0.86873573 0.01282275 0.11844151],[6.25258280e-06 1.46452317e-04 4.19530360e-02],[1.76849748e-05 4.14229707e-04 1.18661105e-01]
[0.90730155 0.01282875 0.07986974],[3.57173090e-07 1.20224779e-06 5.84855809e-02],[1.01023806e-06 3.40047025e-06 1.65422203e-01]
[0.31091067 0.04249819 0.6465912 ],[0.00481538 0.05801968 0.00085544],[0.01361996 0.16410443 0.00241954]
[0.38430807 0.02822094 0.587471  ],[0.01927078 0.01227245 0.00033   ],[0.054506   0.03471172 0.00093337]
[0.03030462 0.02913889 0.94055647],[6.67340707e-02 4.13108629e-07 4.79675417e-07],[1.88752456e-01 1.16844765e-06 1.35672696e-06]
[0.04561302 0.07129312 0.8830939 ],[6.26542997e-02 2.54589935e-05 4.51818277e-06],[1.77213121e-01 7.20089078e-05 1.27793507e-05]
[0.01913748 0.02845863 0.9524038 ],[6.40887784e-02 3.35948772e-07 4.96475047e-07],[1.81270439e-01 9.50206618e-07 1.40424349e-06]
[0.01486307 0.60238063 0.38275632],[0.00449923 0.00056141 0.04964621],[0.01272576 0.00158791 0.14042069]
[0.03327274 0.06896512 0.89776206],[6.84368859e-02 6.11075333e-07 8.03227091e-07],[1.93568744e-01 1.72838205e-06 2.27186929e-06]
[0.32643703 0.06613059 0.60743237],[0.02397686 0.01028814 0.00036439],[0.0678168  0.02909926 0.00103065]
[0.51320314 0.01629971 0.4704972 ],[0.00024121 0.02140671 0.00859488],[0.00068225 0.06054732 0.02430998]
[0.01496442 0.01494526 0.9700903 ],[6.37237380e-02 1.96918684e-07 1.97236682e-07],[1.80237949e-01 5.56970147e-07 5.57869581e-07]
[0.05651304 0.13141446 0.81207246],[4.21327435e-02 3.70947178e-05 7.01616414e-04],[1.19169395e-01 1.04919706e-04 1.98447090e-03]
[0.4781627  0.03430725 0.48753   ],[6.87760537e-02 9.86326984e-05 2.21328950e-05],[1.94528056e-01 2.78975400e-04 6.26012806e-05]
[0.02302168 0.03960131 0.937377  ],[6.95246581e-02 9.34521624e-07 7.24016708e-07],[1.96645429e-01 2.64322631e-06 2.04782850e-06]
[0.00953305 0.05346988 0.9369971 ],[6.21857697e-02 1.15594187e-06 4.58119495e-06],[1.75887918e-01 3.26949734e-06 1.29575761e-05]
[0.03938283 0.01525111 0.945366  ],[6.44043275e-02 3.04982092e-07 3.93084889e-07],[1.82162947e-01 8.62619622e-07 1.11181196e-06]
[0.0235032  0.4385722  0.53792465],[0.00977942 0.0005352  0.03014838],[0.02766038 0.00151377 0.0852725 ]
[0.14714119 0.17759547 0.67526335],[0.08236165 0.00072771 0.00178851],[0.23295392 0.00205827 0.00505866]
[0.03527104 0.01153054 0.9531985 ],[6.37373443e-02 2.31778162e-07 2.12925885e-07],[1.80276434e-01 6.55567642e-07 6.02245349e-07]
[0.02609021 0.02436799 0.94954175],[6.42685943e-02 2.16433840e-07 2.17454691e-07],[1.81779035e-01 6.12167344e-07 6.15054747e-07]
[0.02359705 0.02068539 0.9557175 ],[6.48363904e-02 4.81643237e-07 8.53270600e-07],[1.83385005e-01 1.36229280e-06 2.41341371e-06]
[0.05018548 0.01423368 0.93558085],[6.19303217e-02 3.62044156e-07 2.35287402e-07],[1.75165402e-01 1.02401551e-06 6.65493269e-07]
[0.0382812  0.02359832 0.9381204 ],[6.59850221e-02 3.64487991e-07 4.30607452e-07],[1.86633826e-01 1.03092772e-06 1.21794180e-06]
[0.15329005 0.14519772 0.7015122 ],[0.04023968 0.004243   0.0003165 ],[0.113815   0.01200102 0.00089519]
[0.01637799 0.0163933  0.9672287 ],[6.41294194e-02 2.17512251e-07 2.25225565e-07],[1.81385389e-01 6.15217551e-07 6.37034097e-07]
[0.3508819  0.03119361 0.6179245 ],[0.00642117 0.03997025 0.00054981],[0.0181618  0.11305294 0.00155511]
[0.04274864 0.0357344  0.9215169 ],[8.20705201e-02 8.37935329e-06 1.07698670e-05],[2.32130485e-01 2.37003901e-05 3.04617841e-05]
[0.08390316 0.24109538 0.6750015 ],[0.04750797 0.00046215 0.00427688],[0.13437283 0.00130717 0.01209685]
[0.13951093 0.03044386 0.8300452 ],[5.11237929e-02 2.65384494e-04 2.15679163e-05],[1.44599922e-01 7.50620702e-04 6.10032794e-05]
[0.02013295 0.01920267 0.9606644 ],[6.71635709e-02 4.33643687e-07 4.00261727e-07],[1.89967266e-01 1.22652957e-06 1.13211113e-06]
[0.0521814  0.29561517 0.65220344],[0.016274   0.00021929 0.01132552],[0.04602983 0.00062025 0.0320334 ]
[0.01785501 0.01773498 0.96441   ],[6.45791225e-02 2.60785239e-07 2.96651540e-07],[1.82657342e-01 7.37612043e-07 8.39057264e-07]
[0.02720373 0.02663689 0.94615936],[6.48412708e-02 2.53974841e-07 2.71444769e-07],[1.83398809e-01 7.18349329e-07 7.67761747e-07]
[0.08966155 0.2762148  0.6341237 ],[7.78374404e-02 4.41530929e-05 1.13540499e-04],[2.20157528e-01 1.24883806e-04 3.21141028e-04]
[0.01580901 0.01544456 0.9687464 ],[6.41755557e-02 2.21027422e-07 2.31227702e-07],[1.81515883e-01 6.25159956e-07 6.54010705e-07]
[0.11211129 0.03510122 0.8527875 ],[7.49214639e-02 5.11954799e-06 3.15986267e-06],[2.11909901e-01 1.44802684e-05 8.93744130e-06]
[0.410714   0.04038    0.54890597],[0.00433126 0.08106351 0.00180109],[0.01225065 0.22928223 0.00509425]
[0.06496036 0.10084452 0.83419514],[7.67204226e-02 1.05107439e-05 5.78705823e-06],[2.16998124e-01 2.97288731e-05 1.63682725e-05]
[0.21040826 0.01493487 0.77465683],[2.18897734e-02 2.92184073e-03 5.04475268e-05],[0.06191363 0.00826421 0.00014269]
[0.5754948  0.01210539 0.41239977],[6.09843130e-05 4.50204859e-03 1.76161348e-02],[0.00017249 0.01273372 0.04982595]
[0.15336715 0.044871   0.80176187],[2.52768360e-02 3.74109202e-03 9.26172889e-05],[0.07149369 0.01058141 0.00026196]
[0.36978155 0.03372355 0.5964949 ],[0.01957956 0.00924505 0.00022535],[0.05537936 0.02614894 0.00063738]
[0.5749635  0.04949288 0.37554356],[0.00624655 0.06968264 0.00179474],[0.01766791 0.19709227 0.00507628]
[0.3554193 0.0498595 0.5947212],[0.00678062 0.05565595 0.00116281],[0.01917848 0.15741879 0.00328891]
[0.01677534 0.01454277 0.96868193],[6.31553848e-02 2.52866388e-07 2.11571197e-07],[1.78630403e-01 7.15214150e-07 5.98413713e-07]
[0.04877868 0.03297634 0.9182449 ],[6.62713948e-02 7.49188239e-07 4.98786135e-07],[1.87443811e-01 2.11902434e-06 1.41078023e-06]
[0.2917348  0.02497406 0.68329114],[7.66027384e-02 2.03866753e-04 6.61630632e-05],[2.16665263e-01 5.76622253e-04 1.87137403e-04]
[0.04559352 0.05074495 0.90366155],[7.31970632e-02 1.81434208e-06 2.68646543e-06],[2.07032559e-01 5.13173435e-06 7.59847169e-06]
[0.02304064 0.6586213  0.318338  ],[0.00196735 0.00522966 0.07640374],[0.00556451 0.01479172 0.2161024 ]
[0.07211366 0.09560196 0.83228433],[8.23476979e-02 6.97053886e-06 7.76384760e-06],[2.32914462e-01 1.97156612e-05 2.19594771e-05]
[0.04300514 0.05007039 0.90692437],[7.59677952e-02 2.74825061e-06 3.81333035e-06],[2.14869373e-01 7.77322656e-06 1.07857270e-05]
[0.29922596 0.01452839 0.6862457 ],[0.00950169 0.02155092 0.00028565],[0.02687485 0.0609552  0.00080794]
[0.00800399 0.10567574 0.88632023],[4.86355940e-02 2.54308310e-06 3.74672939e-05],[1.37562233e-01 7.19292521e-06 1.05973510e-04]
[0.22032876 0.04018764 0.73948365],[4.91267013e-02 5.17565315e-04 4.13658565e-05],[1.38951295e-01 1.46389577e-03 1.17000311e-04]
[0.09008826 0.22409421 0.6858175 ],[0.08564689 0.00020689 0.00038932],[0.242246   0.00058517 0.00110116]
[0.11992016 0.1837547  0.6963251 ],[9.34968756e-02 9.71366331e-05 1.14915364e-04],[0.2644491  0.00027474 0.00032503]
[0.7626516  0.02201636 0.215332  ],[1.97103835e-05 7.11628825e-04 3.30173060e-02],[5.57493833e-05 2.01279027e-03 9.33870439e-02]
[0.01466052 0.01643722 0.96890223],[6.30882798e-02 2.13065453e-07 2.58737125e-07],[1.78440602e-01 6.02640107e-07 7.31819102e-07]
[0.15922524 0.05900275 0.7817721 ],[0.01328705 0.01063946 0.00013838],[0.03758144 0.03009292 0.00039139]
[0.01850903 0.01608987 0.9654011 ],[6.39671234e-02 2.29075509e-07 2.16031833e-07],[1.80926347e-01 6.47923383e-07 6.11030296e-07]
[0.01409573 0.02359411 0.9623101 ],[6.53698932e-02 3.58613969e-07 3.10264308e-07],[1.84893979e-01 1.01431348e-06 8.77559986e-07]
[0.13928126 0.06383756 0.7968812 ],[5.37547066e-02 3.46775022e-04 3.50364675e-05],[1.52041270e-01 9.80827880e-04 9.90980951e-05]
[0.01338186 0.05774593 0.9288722 ],[6.70637071e-02 3.75836377e-07 3.94991807e-07],[1.89684808e-01 1.06302580e-06 1.11720554e-06]
[0.13318709 0.02464193 0.84217095],[5.65766546e-02 6.94963663e-05 7.69443618e-06],[1.60022944e-01 1.96565408e-04 2.17631520e-05]
[0.01670983 0.01433697 0.96895313],[6.37658738e-02 2.01345022e-07 2.05266136e-07],[1.80357127e-01 5.69489722e-07 5.80580308e-07]
[0.01575149 0.01999762 0.9642508 ],[6.38327247e-02 3.33394763e-07 5.10618379e-07],[1.80546210e-01 9.42982791e-07 1.44424687e-06]
[0.46010795 0.01645142 0.52344066],[0.00078431 0.06345439 0.00372063],[0.00221836 0.17947613 0.01052353]
[0.02145317 0.01585409 0.96269274],[8.91120579e-02 5.69960726e-05 4.28398052e-05],[2.52046962e-01 1.61209238e-04 1.21169267e-04]
[0.01615081 0.01712842 0.96672076],[6.29544855e-02 2.54424874e-07 3.57625208e-07],[1.78062174e-01 7.19622215e-07 1.01151684e-06]
[0.01920567 0.01620491 0.9645894 ],[6.39763431e-02 2.16066077e-07 2.10208511e-07],[1.80952424e-01 6.11127152e-07 5.94559454e-07]
[0.33521017 0.0132483  0.65154153],[0.01232032 0.01419103 0.00019874],[0.03484713 0.04013828 0.00056211]
[0.01197192 0.02695468 0.9610734 ],[6.57830326e-02 4.50206140e-07 6.69134702e-07],[1.86062514e-01 1.27337526e-06 1.89259874e-06]
[0.01701785 0.33164617 0.65133595],[0.0125443  0.00030892 0.01793696],[0.03548063 0.00087377 0.0507334 ]
[0.0069456  0.27735946 0.71569496],[1.74527650e-02 6.55185875e-05 5.12105896e-03],[0.04936387 0.00018531 0.01448454]
[0.02038252 0.01717588 0.9624417 ],[6.43970262e-02 2.43373859e-07 2.31157009e-07],[1.82142296e-01 6.88365225e-07 6.53810754e-07]
[0.05121312 0.20301613 0.7457708 ],[7.38583963e-02 1.02590053e-04 3.11234359e-05],[2.08903092e-01 2.90168488e-04 8.80303702e-05]
[0.01614859 0.04054852 0.9433029 ],[6.78796001e-02 7.61965957e-07 1.22771277e-06],[1.91992502e-01 2.15516518e-06 3.47249611e-06]
[0.02534676 0.02253893 0.95211434],[6.96548396e-02 1.25948186e-06 8.75379573e-07],[1.97013638e-01 3.56235267e-06 2.47594733e-06]
[0.02584584 0.42053512 0.5536191 ],[0.01290608 0.00115833 0.03577791],[0.0365039  0.00327626 0.10119522]
[0.02357689 0.02863372 0.9477894 ],[6.46107957e-02 6.24726605e-07 3.94928534e-07],[1.82746927e-01 1.76699367e-06 1.11702658e-06]
[0.10731296 0.13872524 0.75396186],[0.07357046 0.00053118 0.00014983],[0.20808869 0.00150241 0.00042378]
[0.03768082 0.17660467 0.78571445],[4.61400694e-02 1.64350612e-05 2.77036199e-04],[1.30503824e-01 4.64853728e-05 7.83576701e-04]
[0.01629061 0.5051742  0.47853518],[0.00304891 0.00166838 0.09066273],[0.00862362 0.00471889 0.25643292]
[0.01821976 0.02106055 0.96071976],[3.58138874e-02 1.55692416e-05 5.29224081e-04],[1.01296970e-01 4.40364653e-05 1.49687175e-03]
[0.6440602  0.03096717 0.3249727 ],[0.01064153 0.09054845 0.00634402],[0.03009881 0.25610968 0.01794361]
[0.01724392 0.91229963 0.07045648],[5.52070735e-07 6.17577956e-02 1.57874171e-06],[1.56149184e-06 1.74677424e-01 4.46535587e-06]
[0.01770124 0.81123984 0.17105892],[2.79194434e-06 4.82570230e-02 4.32294975e-05],[7.89681111e-06 1.36491473e-01 1.22271483e-04]
[0.00650182 0.7643079  0.22919029],[1.29094552e-05 3.55064782e-02 4.82354899e-04],[3.65134533e-05 1.00427486e-01 1.36430568e-03]
[0.03572641 0.0251006  0.93917304],[6.61692613e-02 4.25228707e-07 5.60375949e-07],[1.87154934e-01 1.20272841e-06 1.58498253e-06]
[0.13519406 0.06416182 0.80064416],[4.83271746e-02 3.67201369e-04 2.59943075e-05],[1.36689892e-01 1.03860231e-03 7.35230045e-05]
[0.01705223 0.04173229 0.9412155 ],[6.74797829e-02 5.73771486e-07 4.78729907e-07],[1.90861648e-01 1.62287083e-06 1.35405266e-06]
[0.0998213  0.02665189 0.8735268 ],[6.43001527e-02 1.54797995e-06 5.60990447e-06],[1.81868296e-01 4.37834847e-06 1.58672060e-05]
[0.03919396 0.0378165  0.92298955],[7.08178629e-02 7.69433835e-07 8.70010484e-07],[2.00303164e-01 2.17628753e-06 2.46076125e-06]
[0.04220267 0.05764082 0.9001565 ],[7.49308033e-02 3.32371336e-06 5.48053767e-06],[2.11936317e-01 9.40088102e-06 1.55013014e-05]
[0.01397843 0.01579922 0.9702224 ],[6.38632426e-02 2.07007152e-07 2.13757875e-07],[1.80632528e-01 5.85504644e-07 6.04598571e-07]
[0.09089484 0.24473934 0.66436577],[0.05637013 0.00064434 0.00390631],[0.15943882 0.00182248 0.01104871]
[0.01552728 0.0220863  0.96238637],[6.31329414e-02 2.84591103e-07 4.17627332e-07],[1.78566924e-01 8.04945195e-07 1.18122847e-06]
[0.03766881 0.04136407 0.92096704],[7.05106432e-02 7.17131145e-07 7.94062960e-07],[1.99434216e-01 2.02835318e-06 2.24594921e-06]
[0.05209488 0.03164375 0.9162613 ],[6.93393373e-02 7.42391470e-07 1.00156250e-06],[1.96121262e-01 2.09980017e-06 2.83284656e-06]
[0.5087227  0.02709904 0.4641782 ],[0.00069469 0.04048689 0.00739297],[0.00196489 0.11451422 0.02091047]
[0.02472108 0.02842659 0.9468523 ],[5.99856036e-02 7.37462902e-07 2.99354615e-06],[1.69664908e-01 2.08586007e-06 8.46702712e-06]
[0.0339438  0.31348395 0.6525722 ],[0.05111121 0.00330328 0.01784827],[0.14456434 0.00934308 0.05048253]
[0.20005417 0.088844   0.71110183],[0.07021569 0.00097817 0.00024567],[0.19859997 0.0027667  0.00069487]
[0.01479166 0.52643347 0.4587749 ],[0.0029171  0.00147824 0.08849586],[0.0082508  0.00418109 0.25030409]
[0.01239088 0.02037349 0.9672356 ],[6.41847368e-02 2.99019688e-07 2.53611902e-07],[1.81541851e-01 8.45755397e-07 7.17322781e-07]
[0.61016595 0.01306567 0.37676835],[5.87841615e-05 3.42507088e-03 2.14656450e-02],[0.00016627 0.00968756 0.06071401]
[0.02106713 0.01931128 0.9596216 ],[6.82279461e-02 2.03078009e-06 1.06155084e-06],[1.92977773e-01 5.74391348e-06 3.00251920e-06]
[0.05608837 0.02349088 0.92042077],[6.65146495e-02 2.03054471e-05 5.02425543e-06],[1.88131839e-01 5.74324773e-05 1.42107403e-05]
[0.05573404 0.08073305 0.86353296],[7.56291126e-02 2.18754584e-06 2.71478171e-06],[2.13911433e-01 6.18731400e-06 7.67856222e-06]
[0.02547524 0.55150616 0.4230186 ],[0.00187142 0.00249416 0.10062075],[0.00529318 0.00705456 0.28459845]
[0.01739167 0.0219422  0.9606662 ],[6.59884384e-02 2.92170976e-07 2.94411357e-07],[1.86643489e-01 8.26384313e-07 8.32721069e-07]
[0.01719555 0.01490995 0.9678946 ],[6.29896579e-02 1.99916177e-07 2.33298327e-07],[1.78161657e-01 5.65448337e-07 6.59867317e-07]
[0.03328294 0.04413301 0.922584  ],[7.34386742e-02 2.69254838e-06 4.74761854e-06],[2.07715938e-01 7.61567689e-06 1.34282931e-05]
[0.05313414 0.3130466  0.6338193 ],[0.00496041 0.00129628 0.06748642],[0.01403017 0.00366643 0.19088042]
[0.271592   0.06493203 0.663476  ],[0.03604293 0.00576668 0.00035919],[0.10194479 0.01631064 0.00101594]
[0.62031233 0.02017471 0.35951293],[1.92891325e-05 5.36337806e-04 3.70467138e-02],[5.45579057e-05 1.51699240e-03 1.04783930e-01]
