[0.11976594 0.16781613 0.7124179 ],[0.04925735 0.00233998 0.00025277],[0.13932083 0.00661847 0.00071493]
[0.00776909 0.04996594 0.942265  ],[6.19728237e-02 2.68628369e-07 1.97167154e-07],[1.75285616e-01 7.59795765e-07 5.57672926e-07]
[0.3692625  0.01613955 0.6145979 ],[0.0114857  0.0114881  0.00012819],[0.03248645 0.03249324 0.00036257]
[0.01846337 0.02307546 0.9584612 ],[6.61686980e-02 3.96503298e-07 4.80072750e-07],[1.87153340e-01 1.12148068e-06 1.35785079e-06]
[0.32091805 0.02057307 0.65850884],[2.01235422e-02 4.96198395e-03 9.28572703e-05],[0.05691797 0.01403461 0.00026264]
[0.00540551 0.01750332 0.97709113],[6.04934061e-02 1.35401640e-07 1.63442091e-07],[1.71101191e-01 3.82973670e-07 4.62284043e-07]
[0.03111364 0.04691375 0.9219726 ],[6.52467426e-02 5.84276597e-07 1.09313729e-06],[1.84545657e-01 1.65258377e-06 3.09185918e-06]
[0.00709192 0.11085321 0.88205487],[5.06403492e-02 2.94650159e-06 3.70879406e-05],[1.43232537e-01 8.33396501e-06 1.04900537e-04]
[0.01942682 0.02104006 0.9595331 ],[6.16538135e-02 2.40022388e-07 1.80040954e-07],[1.74383318e-01 6.78885834e-07 5.09232718e-07]
[0.01725975 0.01311312 0.969627  ],[5.89896965e-02 2.93681583e-07 1.65480152e-07],[1.66848058e-01 8.30656955e-07 4.68048551e-07]
[0.06540449 0.04910275 0.8854928 ],[7.31083939e-02 4.71647288e-05 1.53968472e-05],[2.06781764e-01 1.33401998e-04 4.35488601e-05]
[0.0249176  0.03660606 0.9384763 ],[7.44748828e-02 1.35922860e-06 1.42685632e-06],[2.10646779e-01 3.84447905e-06 4.03575912e-06]
[0.01557664 0.5749272  0.40949616],[0.00015035 0.01534252 0.00927746],[0.00042524 0.04339519 0.02624061]
[0.0243066  0.01216446 0.96352905],[6.16800019e-02 4.20039864e-07 2.49709531e-07],[1.74457391e-01 1.18805214e-06 7.06285212e-07]
[0.01250656 0.1205122  0.86698127],[4.47992397e-02 3.60638414e-06 6.96950416e-05],[1.26711385e-01 1.02003947e-05 1.97127346e-04]
[0.00222439 0.00434121 0.9934344 ],[5.96204745e-02 1.04383174e-07 1.00913100e-07],[1.68632167e-01 2.95240200e-07 2.85425348e-07]
[0.32167965 0.04900119 0.6293192 ],[0.04176238 0.00513746 0.00046529],[0.11812184 0.01453093 0.00131604]
[0.5687264  0.01554156 0.4157321 ],[0.00106083 0.06082377 0.00507695],[0.00300048 0.1720356  0.01435978]
[0.04319571 0.12502016 0.8317841 ],[4.75507026e-02 7.34014614e-06 1.14934596e-04],[1.34493697e-01 2.07610684e-05 3.25084130e-04]
[0.11464407 0.08549874 0.7998572 ],[0.01456412 0.01551848 0.00031632],[0.04119356 0.04389289 0.00089469]
[0.00584202 0.12575474 0.8684032 ],[3.89283053e-02 6.83977035e-06 1.92362638e-04],[1.10105875e-01 1.93457920e-05 5.44083705e-04]
[0.01445021 0.00801776 0.977532  ],[6.03101074e-02 1.11531265e-07 1.10648636e-07],[1.70582744e-01 3.15458055e-07 3.12961603e-07]
[0.01220468 0.03749262 0.9503027 ],[6.18603463e-02 1.70676493e-07 2.08340672e-07],[1.74967481e-01 4.82746021e-07 5.89276407e-07]
[0.0147169  0.02607874 0.9592043 ],[6.36626783e-02 4.53611416e-07 8.98841443e-07],[1.80065246e-01 1.28300683e-06 2.54230752e-06]
[0.01732625 0.02185895 0.9608147 ],[6.15024805e-02 2.60360273e-07 1.85993839e-07],[1.73955284e-01 7.36410058e-07 5.26070019e-07]
[0.01355253 0.34448978 0.6419577 ],[0.00774393 0.0002544  0.02380139],[0.02190314 0.00071955 0.0673205 ]
[0.01895582 0.01020637 0.97083783],[6.33279362e-02 4.73932292e-07 3.07164830e-07],[1.79118453e-01 1.34048295e-06 8.68793336e-07]
[0.17570083 0.0297481  0.7945511 ],[7.55178603e-02 1.72683914e-06 1.65209791e-06],[2.13596764e-01 4.88423868e-06 4.67283854e-06]
[0.01760288 0.01394329 0.96845376],[6.08644218e-02 1.54088405e-07 1.36175259e-07],[1.72150582e-01 4.35827825e-07 3.85161795e-07]
[0.02063609 0.00848503 0.9708789 ],[6.88300141e-02 5.50532823e-07 6.11573362e-07],[1.94680679e-01 1.55714197e-06 1.72979068e-06]
[0.0318057  0.3481665  0.62002784],[0.00197691 0.00275679 0.09890024],[0.00559156 0.00779738 0.27973213]
[0.02834169 0.01875082 0.95290744],[6.06362838e-02 7.35297611e-07 3.11654930e-07],[1.71505310e-01 2.07973571e-06 8.81493256e-07]
[0.05746219 0.07242563 0.8701121 ],[0.01458545 0.00020492 0.01197461],[0.04125387 0.00057959 0.03386931]
[0.03482076 0.10275386 0.86242545],[6.83447481e-02 8.68908630e-07 1.42897370e-06],[1.93308139e-01 2.45764474e-06 4.04174798e-06]
[0.01888093 0.18053459 0.80058455],[6.53717215e-02 2.07282694e-06 7.31395363e-06],[1.84899150e-01 5.86283995e-06 2.06869848e-05]
[0.49645326 0.00665872 0.49688798],[0.00150863 0.10051534 0.00204283],[0.00426706 0.2843003  0.005778  ]
[0.0515535  0.12157275 0.8268737 ],[3.87886498e-02 8.01700472e-05 1.53474665e-03],[0.10971087 0.00022676 0.00434092]
[0.2968302  0.05010894 0.6530608 ],[2.18053864e-02 2.49997116e-03 4.07974998e-05],[0.06167495 0.00707099 0.00011539]
[0.28622645 0.01761683 0.6961567 ],[0.00736976 0.03973408 0.00066429],[0.02084483 0.11238495 0.00187891]
[0.1548538  0.04359001 0.8015561 ],[0.00326621 0.08808638 0.00166197],[0.00923825 0.2491459  0.00470077]
[0.05909566 0.01683591 0.9240684 ],[6.07487451e-02 3.59708333e-06 8.93113158e-07],[1.71823399e-01 1.01740881e-05 2.52610548e-06]
[0.16818464 0.02606297 0.80575234],[7.28013078e-02 3.29576417e-06 6.81900534e-06],[2.05913194e-01 9.32182878e-06 1.92870597e-05]
[0.78457564 0.00692203 0.20850234],[1.52183257e-05 7.78752369e-04 2.80237927e-02],[4.30439252e-05 2.20264432e-03 7.92632555e-02]
[0.00702304 0.00907374 0.9839033 ],[6.10557019e-02 1.27609104e-07 1.28842593e-07],[1.72691603e-01 3.60933052e-07 3.64421886e-07]
[0.1730814  0.02217231 0.8047463 ],[2.24629401e-02 2.18388345e-03 3.57570393e-05],[0.06353479 0.00617696 0.00010114]
[0.02665797 0.7518807  0.2214614 ],[0.00011601 0.023577   0.0046317 ],[0.00032813 0.06668584 0.01310043]
[0.07594374 0.05419381 0.8698625 ],[7.23458047e-02 1.76657105e-06 1.34362419e-06],[2.04624836e-01 4.99661746e-06 3.80034310e-06]
[0.07276175 0.10182967 0.8254085 ],[0.07567223 0.00078946 0.0002542 ],[0.2140334  0.00223292 0.000719  ]
[0.0587838  0.02373871 0.91747755],[6.59552566e-02 4.16588799e-07 5.57383278e-07],[1.86549637e-01 1.17829106e-06 1.57651798e-06]
[0.12277559 0.15659635 0.7206281 ],[3.00035906e-02 6.71163973e-05 2.12877236e-03],[0.08486297 0.00018983 0.00602108]
[0.02659467 0.5001599  0.47324544],[0.00391567 0.00079619 0.06167964],[0.01107519 0.00225195 0.17445638]
[0.1262933  0.06248929 0.8112174 ],[5.28590944e-02 2.56321087e-04 2.45687945e-05],[1.49508096e-01 7.24985515e-04 6.94910448e-05]
[0.02831147 0.01462561 0.95706284],[6.26712892e-02 2.26732987e-07 3.08013918e-07],[1.77261174e-01 6.41297731e-07 8.71194919e-07]
[0.03047932 0.2479614  0.7215593 ],[7.02980112e-02 1.12083189e-05 3.96568433e-05],[1.98832802e-01 3.17019132e-05 1.12166491e-04]
[0.01148455 0.0124408  0.97607464],[6.34849726e-02 1.94368945e-07 1.91619907e-07],[1.79562618e-01 5.49758396e-07 5.41982942e-07]
[0.06835768 0.10334364 0.8282987 ],[7.36982846e-02 1.42328423e-06 1.66901355e-06],[2.08450227e-01 4.02565571e-06 4.72068319e-06]
[0.07294272 0.0271405  0.8999168 ],[6.78683904e-02 1.22369609e-05 3.70083591e-06],[1.91960796e-01 3.46113520e-05 1.04675447e-05]
[0.4859643  0.01079587 0.50323975],[0.00140226 0.09019101 0.00261212],[0.00396619 0.2550987  0.00738819]
[0.05083105 0.05145453 0.89771444],[7.93161833e-02 4.15481308e-06 5.05578210e-06],[2.24340044e-01 1.17515860e-05 1.42999112e-05]
[0.01581579 0.02038975 0.96379447],[6.70917013e-02 4.52797899e-07 4.08013066e-07],[1.89763988e-01 1.28070586e-06 1.15403522e-06]
[0.04909811 0.25616613 0.6947357 ],[2.18633176e-02 5.07439711e-05 2.90070711e-03],[0.0618388  0.00014353 0.00820444]
[0.01528985 0.02020513 0.96450496],[6.56707554e-02 3.00127192e-07 2.87358626e-07],[1.85744946e-01 8.48887892e-07 8.12772932e-07]
[0.00410773 0.26163596 0.7342564 ],[4.44308956e-02 1.65251816e-05 2.95081763e-04],[1.25669550e-01 4.67402720e-05 8.34617262e-04]
[0.75231194 0.0151715  0.23251654],[3.35030945e-05 6.21663746e-04 4.20623228e-02],[9.47610614e-05 1.75833060e-03 1.18970215e-01]
[0.15165755 0.13709207 0.71125036],[0.01819941 0.0255443  0.00107389],[0.05147569 0.0722502  0.00303743]
[0.00368662 0.00566235 0.9906509 ],[5.99064605e-02 1.02427590e-07 1.03122121e-07],[1.69441058e-01 2.89708975e-07 2.91673403e-07]
[0.00329281 0.04643644 0.9502707 ],[6.01143155e-02 1.34423587e-07 1.20503002e-07],[1.70028961e-01 3.80207321e-07 3.40833960e-07]
[0.11737352 0.04504543 0.83758104],[6.17294265e-02 9.30880855e-05 1.46344004e-05],[1.74597184e-01 2.63292866e-04 4.13923350e-05]
[0.00533563 0.00520165 0.9894628 ],[5.84529713e-02 8.67464393e-08 9.43918367e-08],[1.65329969e-01 2.45355982e-07 2.66980431e-07]
[0.03706903 0.00683129 0.95609975],[6.33790317e-02 2.19210697e-07 2.00957475e-07],[1.79262972e-01 6.20021482e-07 5.68393573e-07]
[0.01632688 0.07223044 0.9114427 ],[6.25083185e-02 2.50612779e-07 3.69770599e-07],[1.76800223e-01 7.08839983e-07 1.04586919e-06]
[0.03741884 0.01469131 0.94788986],[6.77737211e-02 5.00047726e-07 5.96969683e-07],[1.91693031e-01 1.41434855e-06 1.68848524e-06]
[0.02901382 0.052917   0.9180691 ],[6.72973326e-02 1.27997231e-06 7.51078161e-07],[1.90345601e-01 3.62030840e-06 2.12436984e-06]
[0.00903846 0.02077433 0.9701872 ],[6.12900689e-02 1.83808775e-07 1.52761347e-07],[1.73354493e-01 5.19889724e-07 4.32074337e-07]
[0.02085766 0.10528421 0.8738581 ],[8.17510862e-02 5.06565964e-06 4.91354415e-06],[2.31226990e-01 1.43278491e-05 1.38976015e-05]
[0.7528138  0.00443738 0.24274881],[0.00016858 0.01642803 0.0093991 ],[0.00047682 0.0464655  0.02658467]
[0.01657075 0.02381491 0.95961434],[6.64425465e-02 4.11215147e-07 4.95888171e-07],[1.87927901e-01 1.16309208e-06 1.40258355e-06]
[0.02873944 0.00828042 0.9629801 ],[6.68234757e-02 3.37024150e-07 3.37796805e-07],[1.89005331e-01 9.53248247e-07 9.55433647e-07]
[0.00738084 0.4589451  0.53367406],[0.00513689 0.00047418 0.04253288],[0.01452932 0.00134119 0.12030115]
[0.0465502  0.07344241 0.8800075 ],[3.94629363e-02 1.53730228e-05 3.71073490e-04],[1.11618039e-01 4.34814747e-05 1.04955432e-03]
[0.04829127 0.12152835 0.8301804 ],[4.05822791e-02 1.97151528e-05 4.32194555e-04],[1.14784019e-01 5.57628729e-05 1.22243080e-03]
[0.4590305  0.02211773 0.5188518 ],[0.01338787 0.01377912 0.0002264 ],[0.0378666  0.03897324 0.00064036]
[0.3232777  0.06189458 0.6148277 ],[0.0333581  0.00423368 0.00021703],[0.09435094 0.01197466 0.00061385]
[0.0415001  0.06567786 0.89282197],[7.47307874e-02 1.77771286e-06 2.11045718e-06],[2.11370586e-01 5.02813127e-06 5.96927433e-06]
[0.08501206 0.05231868 0.8626693 ],[7.57601002e-02 2.13147266e-06 1.92523516e-06],[2.14281922e-01 6.02871510e-06 5.44538735e-06]
[0.00696401 0.01617411 0.9768619 ],[6.41202062e-02 2.12397277e-07 2.13769422e-07],[1.81359331e-01 6.00750219e-07 6.04631233e-07]
[0.05256706 0.06159067 0.8858423 ],[7.70276447e-02 5.02705140e-06 8.40298926e-06],[2.17867080e-01 1.42186485e-05 2.37672428e-05]
[0.00989747 0.54500204 0.44510052],[0.00215978 0.00173644 0.10297933],[0.00610879 0.00491139 0.29126952]
[0.00586982 0.01353161 0.98059857],[5.94125177e-02 1.53345247e-07 1.19897096e-07],[1.68043977e-01 4.33725855e-07 3.39120198e-07]
[0.5833414  0.02153458 0.395124  ],[6.73644931e-05 4.79884517e-03 1.76573820e-02],[0.00019054 0.01357318 0.04994262]
[0.24017902 0.02195067 0.7378703 ],[0.01319622 0.01107717 0.00015167],[0.03732455 0.03133098 0.00042899]
[0.01903472 0.3009672  0.67999804],[5.01402105e-02 1.38325652e-05 1.77696143e-04],[1.41817931e-01 3.91244026e-05 5.02600590e-04]
[0.0417388  0.03126611 0.92699504],[5.77023738e-02 1.31103521e-05 1.94648022e-06],[1.63206959e-01 3.70816754e-05 5.50547744e-06]
[0.05537868 0.14084105 0.8037803 ],[4.59329517e-02 1.06693775e-05 1.78250032e-04],[1.29918006e-01 3.01775568e-05 5.04167224e-04]
[0.0827473  0.22170623 0.6955465 ],[0.02580151 0.00012465 0.00417905],[0.07297769 0.00035256 0.01182015]
[0.10541008 0.02498401 0.8696059 ],[6.65935515e-02 8.32607479e-06 2.50745392e-06],[1.88355007e-01 2.35496958e-05 7.09215067e-06]
[0.10069286 0.02778208 0.87152505],[4.98509805e-02 4.20201017e-06 5.67862208e-05],[1.40999865e-01 1.18850796e-05 1.60615687e-04]
[0.675486   0.02584609 0.29866788],[2.98389804e-05 1.13388638e-03 3.03093401e-02],[8.43973816e-05 3.20711500e-03 8.57277595e-02]
[0.00612639 0.01957243 0.9743012 ],[6.14062504e-02 1.53378944e-07 1.42405424e-07],[1.73683104e-01 4.33821165e-07 4.02783363e-07]
[0.042623   0.28512654 0.67225045],[0.0087207  0.00035662 0.02600645],[0.02466587 0.00100868 0.07355735]
[0.5342906  0.00834383 0.45736554],[0.00035761 0.03419662 0.00591131],[0.00101146 0.09672266 0.01671971]
[0.09615916 0.02260137 0.8812394 ],[6.80279083e-02 1.80410886e-06 9.64158552e-07],[1.92411981e-01 5.10279044e-06 2.72705220e-06]
[0.01271759 0.01279339 0.97448903],[6.12959484e-02 1.75539586e-07 1.49586153e-07],[1.73371123e-01 4.96500926e-07 4.23093532e-07]
[0.13501042 0.08994675 0.7750428 ],[0.06016578 0.00122307 0.00020067],[0.17017453 0.00345935 0.00056759]
[0.01184174 0.02397607 0.9641822 ],[6.28830965e-02 1.80386979e-07 1.92570183e-07],[1.77860256e-01 5.10211425e-07 5.44670730e-07]
[0.01619086 0.05231529 0.9314939 ],[6.68710022e-02 1.12436271e-06 6.69239988e-07],[1.89139756e-01 3.18017798e-06 1.89289653e-06]
[0.02497771 0.03772907 0.9372932 ],[7.04644893e-02 1.36420848e-05 4.91400414e-05],[1.99303673e-01 3.85856428e-05 1.38989026e-04]
[0.00730966 0.00993427 0.982756  ],[5.91761106e-02 1.25927573e-07 1.77264524e-07],[1.67375316e-01 3.56176964e-07 5.01379789e-07]
[0.03820737 0.00955675 0.95223594],[6.60870467e-02 1.03780547e-06 5.99601252e-07],[1.86922395e-01 2.93535715e-06 1.69592845e-06]
[0.00726403 0.01136072 0.9813752 ],[5.97935851e-02 1.27720771e-07 1.63764390e-07],[1.69121798e-01 3.61248892e-07 4.63195643e-07]
[0.08923494 0.20376319 0.7070019 ],[0.0065728  0.00187212 0.06774787],[0.01859069 0.00529516 0.19161992]
[0.1099773  0.06076406 0.82925856],[6.50143760e-02 1.88715560e-06 6.64728588e-06],[1.83888425e-01 5.33768210e-06 1.88013637e-05]
[0.16338429 0.04852557 0.78809017],[8.23002970e-02 3.57321505e-05 2.06032778e-05],[2.32780392e-01 1.01065784e-04 5.82748697e-05]
[0.07728748 0.05204805 0.87066454],[2.78468883e-02 1.73967205e-03 4.33041571e-05],[0.07876289 0.00492054 0.00012248]
[0.07303705 0.11483347 0.8121295 ],[6.76897316e-02 9.51278220e-06 3.03083881e-06],[1.91455473e-01 2.69062112e-05 8.57250671e-06]
[0.01142222 0.00914365 0.9794342 ],[5.99616776e-02 1.04051365e-07 1.05158242e-07],[1.69597235e-01 2.94301704e-07 2.97432423e-07]
[0.77096486 0.03004023 0.19899483],[0.00145756 0.085377   0.00318488],[0.00412259 0.24148261 0.00900821]
[0.02230254 0.03518357 0.94251394],[6.69917116e-02 7.89966140e-07 1.44297695e-06],[1.89481174e-01 2.23436166e-06 4.08135516e-06]
[0.04731495 0.02635153 0.9263334 ],[5.12570622e-02 2.48071420e-06 2.94038393e-05],[1.44976865e-01 7.01651934e-06 8.31666167e-05]
[0.01491527 0.01145722 0.9736276 ],[6.34946291e-02 2.09622685e-07 2.34300354e-07],[1.79589931e-01 5.92902489e-07 6.62701476e-07]
[0.02338203 0.04857529 0.92804265],[6.48943925e-02 8.08404884e-07 4.67472456e-07],[1.83549060e-01 2.28651430e-06 1.32221178e-06]
[0.0953484 0.0614296 0.843222 ],[7.95477832e-02 4.59789757e-05 1.08875934e-04],[2.24995108e-01 1.30048182e-04 3.07947645e-04]
[0.01765078 0.01398911 0.9683602 ],[5.95738272e-02 1.06099840e-07 1.01536412e-07],[1.68500229e-01 3.00095666e-07 2.87188342e-07]
[0.27051902 0.00473027 0.7247507 ],[1.29107779e-02 8.68401004e-03 9.63512261e-05],[0.03651719 0.02456209 0.00027252]
[0.01745604 0.3432193  0.6393247 ],[0.02231486 0.00024433 0.00821155],[0.06311595 0.00069106 0.02322577]
[0.06151212 0.1389018  0.7995861 ],[5.83382658e-02 2.43647545e-05 1.91056571e-04],[1.65005533e-01 6.89139324e-05 5.40389589e-04]
[0.09339802 0.10389028 0.80271167],[8.10327740e-02 1.39352646e-05 2.38802354e-05],[2.29195296e-01 3.94148805e-05 6.75435056e-05]
[0.08724125 0.07247703 0.8402817 ],[0.06775875 0.00109488 0.0002586 ],[0.19165068 0.00309679 0.00073144]
[0.02099643 0.16155057 0.817453  ],[7.29258783e-02 2.93470991e-06 5.62890206e-06],[2.06265532e-01 8.30061312e-06 1.59209393e-05]
[0.58816355 0.06483207 0.34700438],[0.00108274 0.03950732 0.01066155],[0.00306246 0.11174358 0.03015542]
[0.02766859 0.2916324  0.68069905],[0.01696685 0.00012334 0.00735877],[0.04798949 0.00034887 0.02081373]
[0.00760116 0.04109089 0.95130795],[5.99991396e-02 1.13467860e-07 1.09213863e-07],[1.69703194e-01 3.20935572e-07 3.08903454e-07]
[0.27929342 0.03178884 0.6889177 ],[0.01746235 0.01026111 0.00021659],[0.04939097 0.0290228  0.0006126 ]
