[0.10477307 0.30977634 0.5854506 ],[0.00335172 0.00348181 0.10846925],[0.00948011 0.00984804 0.30679737]
[0.5929813  0.06871933 0.33829936],[0.00196156 0.0744066  0.00560046],[0.00554813 0.21045366 0.01584051]
[0.16828206 0.02518904 0.8065289 ],[0.01823624 0.01529783 0.00045346],[0.05157986 0.04326879 0.00128259]
[0.04014247 0.06663676 0.8932207 ],[5.40697934e-02 8.38327907e-05 8.22130666e-06],[1.52932470e-01 2.37114939e-04 2.32533668e-05]
[0.03287227 0.06187115 0.90525657],[7.53150241e-02 3.86849760e-06 2.65510386e-06],[2.13023057e-01 1.09417635e-05 7.50976778e-06]
[0.10999238 0.13582154 0.7541861 ],[4.95720355e-02 3.36683028e-05 4.22117117e-04],[1.40210890e-01 9.52283409e-05 1.19392750e-03]
[0.0207616  0.01417997 0.9650584 ],[6.54526544e-02 3.02184855e-07 2.83764554e-07],[1.85128063e-01 8.54707840e-07 8.02607361e-07]
[0.03730444 0.10340882 0.8592867 ],[2.66277511e-02 3.79846331e-05 1.71646856e-03],[0.07531465 0.00010744 0.00485491]
[0.23329544 0.03637734 0.7303272 ],[0.0141343  0.01302819 0.00022567],[0.03997784 0.03684928 0.00063828]
[0.01732807 0.0390529  0.9436189 ],[6.88800853e-02 5.48325745e-07 6.00171239e-07],[1.94822302e-01 1.55089941e-06 1.69754061e-06]
[0.0135359  0.0218271  0.96463704],[6.34942013e-02 3.58503724e-07 2.66494205e-07],[1.79588721e-01 1.01400166e-06 7.53759438e-07]
[0.05291387 0.08956383 0.85752237],[0.01568323 0.00056244 0.02020701],[0.04435888 0.00159082 0.05715406]
[0.01159818 0.03142821 0.9569737 ],[6.29534321e-02 2.77490325e-07 4.07864912e-07],[1.78059195e-01 7.84861163e-07 1.15361618e-06]
[0.01475608 0.00742754 0.97781646],[6.24163977e-02 2.82375295e-07 2.10902844e-07],[1.76540232e-01 7.98677943e-07 5.96523324e-07]
[0.0288131  0.15378512 0.81740177],[6.45112125e-02 4.64255474e-07 8.40373791e-07],[1.82465263e-01 1.31311278e-06 2.37693602e-06]
[0.0443823  0.02155613 0.9340616 ],[7.88471223e-02 4.44756189e-06 5.78238407e-06],[2.23013339e-01 1.25796047e-05 1.63550519e-05]
[0.10227079 0.08009518 0.817634  ],[7.97875663e-02 4.26737904e-05 2.06710861e-05],[2.25673317e-01 1.20699706e-04 5.84666607e-05]
[0.0770258  0.03368067 0.88929355],[8.45059839e-02 1.50599646e-05 1.21249473e-05],[2.39019017e-01 4.25960124e-05 3.42945298e-05]
[0.00441876 0.00350022 0.99208105],[5.98566689e-02 1.66741640e-07 1.29480372e-07],[1.69300226e-01 4.71616577e-07 3.66225797e-07]
[0.00815028 0.00475065 0.9870991 ],[5.91952448e-02 2.35057165e-07 1.46809691e-07],[1.67429436e-01 6.64842061e-07 4.15240512e-07]
[0.01370771 0.01144721 0.97484505],[6.26899312e-02 2.04535846e-07 2.55753990e-07],[1.77313902e-01 5.78514736e-07 7.23381523e-07]
[0.00215148 0.01832931 0.9795193 ],[5.91101093e-02 9.21110272e-08 9.56115304e-08],[1.67188637e-01 2.60529328e-07 2.70430246e-07]
[0.16795765 0.00678067 0.8252617 ],[3.01226505e-02 7.39195529e-04 1.64596243e-05],[8.51997218e-02 2.09076068e-03 4.65548479e-05]
[0.02126246 0.4602068  0.5185307 ],[7.99315981e-05 2.08533889e-02 4.26156893e-03],[0.00022608 0.05898229 0.01205354]
[0.01525288 0.04885419 0.93589294],[6.77037019e-02 1.55704292e-06 3.79673713e-06],[1.91494987e-01 4.40398244e-06 1.07387943e-05]
[0.01247335 0.01945146 0.9680751 ],[6.21176688e-02 1.71812871e-07 1.59634676e-07],[1.75695299e-01 4.85960186e-07 4.51515048e-07]
[0.8517246  0.02906292 0.11921244],[0.00081429 0.03229259 0.01143688],[0.00230316 0.09133724 0.03234839]
[0.05511679 0.02191355 0.92296964],[7.68247494e-02 2.03460754e-06 2.08338114e-06],[2.17293205e-01 5.75473917e-06 5.89269174e-06]
[0.10550527 0.03999498 0.85449976],[6.33403657e-02 7.26978820e-07 3.87783084e-07],[1.79153608e-01 2.05620661e-06 1.09681619e-06]
[0.03299888 0.01050935 0.95649177],[5.80557376e-02 2.31601371e-07 1.32914457e-07],[1.64206423e-01 6.55067600e-07 3.75938855e-07]
[0.0491282  0.05206296 0.89880884],[7.32326308e-02 2.49256050e-06 1.73915535e-06],[2.07133159e-01 7.05002573e-06 4.91907417e-06]
[0.01675635 0.04334649 0.9398971 ],[6.35241128e-02 6.24225682e-06 1.63643726e-06],[1.79673324e-01 1.76557685e-05 4.62854354e-06]
[0.01287055 0.3715977  0.61553174],[0.00885085 0.0002291  0.02023694],[0.025034   0.00064799 0.05723872]
[0.01228141 0.00892026 0.97879833],[6.12684363e-02 1.58215953e-07 1.98363289e-07],[1.73293307e-01 4.47502293e-07 5.61056109e-07]
[0.40444016 0.03045316 0.56510675],[3.82017553e-02 7.83595361e-04 3.39910360e-05],[1.08050881e-01 2.21634237e-03 9.61411683e-05]
[0.0065117  0.01238439 0.9811039 ],[5.82333088e-02 1.67308537e-07 3.33605037e-07],[1.64708670e-01 4.73220005e-07 9.43577535e-07]
[0.01485727 0.58277434 0.4023684 ],[7.11033660e-05 2.48398885e-02 3.01740327e-03],[0.00020111 0.07025781 0.00853451]
[0.00838065 0.01163187 0.97998744],[5.88311569e-02 1.11149895e-07 9.86362571e-08],[1.66399640e-01 3.14379377e-07 2.78985465e-07]
[0.02461954 0.12995413 0.8454264 ],[7.81512469e-02 2.56838921e-06 2.65637979e-06],[2.21045107e-01 7.26450170e-06 7.51337665e-06]
[0.00804601 0.01476581 0.9771882 ],[6.08646909e-02 1.27048202e-07 1.24773355e-07],[1.72151343e-01 3.59346580e-07 3.52912343e-07]
[0.07301822 0.0939151  0.83306664],[7.70674062e-02 2.08912896e-06 2.06861386e-06],[2.17979542e-01 5.90894902e-06 5.85092354e-06]
[0.02364044 0.01407363 0.9622859 ],[6.66100642e-02 3.35099970e-07 3.44931501e-07],[1.88401712e-01 9.47805846e-07 9.75613612e-07]
[0.17379738 0.07603078 0.75017184],[0.04044456 0.00169569 0.00010354],[0.11439449 0.00479615 0.00029285]
[0.02767617 0.17008749 0.8022363 ],[6.38859003e-02 4.98060014e-05 2.79034135e-04],[1.80696613e-01 1.40872645e-04 7.89227716e-04]
[0.05226981 0.09863012 0.8491001 ],[6.47453405e-02 6.88303466e-06 3.32085213e-05],[1.83127477e-01 1.94681619e-05 9.39278825e-05]
[0.04589413 0.03148725 0.9226187 ],[5.52122602e-02 2.02661647e-06 1.70608045e-05],[1.56163854e-01 5.73213699e-06 4.82552422e-05]
[0.00275396 0.00765839 0.98958766],[5.85015268e-02 8.55858221e-08 8.23352602e-08],[1.65467305e-01 2.42073261e-07 2.32879283e-07]
[0.03157835 0.18616511 0.78225654],[2.87525927e-02 5.07777323e-05 1.89308792e-03],[0.08132461 0.00014362 0.00535446]
[0.04078184 0.23327091 0.72594726],[0.08715482 0.00030871 0.00016861],[0.24651105 0.00087316 0.00047691]
[0.04311008 0.05049815 0.9063917 ],[6.95654587e-02 1.03953690e-06 1.65717726e-06],[1.96760830e-01 2.94025437e-06 4.68720510e-06]
[0.01845259 0.00693987 0.9746075 ],[6.11457532e-02 1.39780331e-07 1.34022990e-07],[1.72946307e-01 3.95358479e-07 3.79074259e-07]
[0.8807623  0.00806205 0.11117574],[2.27037459e-07 5.11035837e-07 5.93092189e-02],[6.42158908e-07 1.44542762e-06 1.67751803e-01]
[0.0206461  0.01439524 0.9649587 ],[6.65156888e-02 5.38727370e-07 4.29277373e-07],[1.88134778e-01 1.52375111e-06 1.21417977e-06]
[0.02305321 0.01982114 0.95712566],[6.45654190e-02 2.82392476e-07 3.41394017e-07],[1.82618583e-01 7.98726540e-07 9.65608097e-07]
[0.08122195 0.05008225 0.8686958 ],[6.68389017e-02 6.19817000e-06 2.47671338e-05],[1.89048962e-01 1.75310721e-05 7.00520330e-05]
[0.28096586 0.01718134 0.70185274],[4.17023170e-02 6.96955779e-04 3.76258037e-05],[1.17951965e-01 1.97128863e-03 1.06421844e-04]
[0.01723719 0.00956302 0.9731997 ],[6.24501313e-02 1.62909479e-07 1.61101446e-07],[1.76635645e-01 4.60777589e-07 4.55663700e-07]
[0.11394631 0.04503454 0.8410191 ],[6.93946712e-02 8.04128028e-07 1.14066561e-06],[1.96277770e-01 2.27441753e-06 3.22628955e-06]
[0.02992933 0.10591596 0.8641547 ],[5.30754959e-02 3.78608489e-06 3.95388079e-05],[1.50120172e-01 1.07086652e-05 1.11832637e-04]
[0.08060195 0.01529325 0.9041048 ],[6.00703753e-02 2.15791674e-06 5.93753728e-07],[1.69904679e-01 6.10351024e-06 1.67938915e-06]
[0.00951077 0.18446822 0.8060209 ],[3.54494876e-02 2.00508229e-05 5.91580215e-04],[1.00266292e-01 5.67122914e-05 1.67324153e-03]
[0.20820118 0.01545653 0.77634233],[4.98442687e-02 1.31707238e-04 9.73899675e-06],[1.40980882e-01 3.72524324e-04 2.75460426e-05]
[0.30143318 0.01360925 0.6849576 ],[2.53878069e-02 2.03478566e-03 3.99909557e-05],[0.07180756 0.00575524 0.00011311]
[0.1780931  0.02975836 0.79214853],[4.76159849e-02 1.14122044e-04 7.32470295e-06],[1.34678343e-01 3.22785885e-04 2.07173885e-05]
[0.02468703 0.01706079 0.95825225],[7.20335002e-02 8.76459466e-07 8.53479272e-07],[2.03741506e-01 2.47900173e-06 2.41400392e-06]
[0.09344666 0.06651749 0.84003574],[5.13210680e-02 9.47485680e-04 9.61388226e-05],[0.1451579  0.00267989 0.00027192]
[0.01832256 0.09637891 0.8852985 ],[7.88161671e-02 9.49955997e-06 1.66890223e-05],[2.22925785e-01 2.68688131e-05 4.72036834e-05]
[0.04755978 0.01089438 0.9415459 ],[6.45317125e-02 1.93829961e-06 7.78317381e-07],[1.82523246e-01 5.48233919e-06 2.20141399e-06]
[0.00721102 0.03222831 0.9605607 ],[6.22593012e-02 1.69271928e-07 1.89817889e-07],[1.76095896e-01 4.78773312e-07 5.36886067e-07]
[0.1811159  0.09086305 0.728021  ],[0.09132256 0.00018913 0.00028535],[0.2582992  0.00053493 0.00080709]
[0.00986623 0.09908704 0.89104676],[6.25695208e-02 7.30945246e-07 2.20138329e-06],[1.76973330e-01 2.06742536e-06 6.22645221e-06]
[0.8501614  0.00693599 0.14290257],[3.42578440e-07 1.27999831e-06 5.74639762e-02],[9.68958153e-07 3.62038194e-06 1.62532669e-01]
[0.01421318 0.01760294 0.9681838 ],[6.44948458e-02 2.33006962e-07 2.42476306e-07],[1.82418971e-01 6.59043211e-07 6.85826560e-07]
[0.02092231 0.07654941 0.9025282 ],[6.37482763e-02 2.74950111e-07 3.64252901e-07],[1.80307354e-01 7.77676351e-07 1.03026279e-06]
[0.00633773 0.8802034  0.1134588 ],[4.61292100e-07 5.91128953e-02 1.66988617e-06],[1.30473109e-06 1.67196517e-01 4.72315135e-06]
[0.01013011 0.52658445 0.46328548],[0.00031414 0.00783641 0.02653776],[0.00088853 0.0221647  0.07506012]
[0.02143092 0.00556298 0.9730061 ],[5.88882875e-02 1.12441198e-07 9.97993908e-08],[1.66561230e-01 3.18031734e-07 2.82275304e-07]
[0.02680643 0.04567765 0.9275159 ],[6.61979692e-02 3.53219528e-07 3.99941525e-07],[1.87236132e-01 9.99055693e-07 1.13120546e-06]
[0.00937437 0.00890033 0.9817253 ],[5.92982626e-02 1.00683208e-07 1.08372809e-07],[1.67720814e-01 2.84775117e-07 3.06524593e-07]
[0.01203666 0.9327554  0.05520789],[5.52040504e-07 6.01027297e-02 1.94456818e-06],[1.56140634e-06 1.69996191e-01 5.50006938e-06]
[0.0070984  0.01041519 0.9824865 ],[5.97416099e-02 1.03664317e-07 1.07513027e-07],[1.68974790e-01 2.93206966e-07 3.04092762e-07]
[0.36221847 0.01419644 0.62358505],[0.0086275  0.02289607 0.00027605],[0.02440226 0.06475987 0.00078079]
[0.571521   0.02289284 0.4055862 ],[2.81223112e-05 1.09204322e-03 3.00315894e-02],[7.95419079e-05 3.08876465e-03 8.49421621e-02]
[0.00922148 0.01669493 0.97408354],[6.32717112e-02 2.05113465e-07 1.92640161e-07],[1.78959424e-01 5.80148489e-07 5.44868656e-07]
[0.01992774 0.58551186 0.3945604 ],[0.00178487 0.00319357 0.09087661],[0.00504837 0.00903278 0.25703787]
[0.12635535 0.02414693 0.8494977 ],[4.37116132e-02 4.00138707e-04 2.23603642e-05],[1.23635112e-01 1.13176317e-03 6.32446606e-05]
[0.04267204 0.07278503 0.8845428 ],[7.62919198e-02 6.19066218e-06 3.90118567e-06],[2.15786135e-01 1.75098368e-05 1.10342194e-05]
[0.03062821 0.0404563  0.92891556],[6.25027266e-02 2.55860661e-07 3.82239781e-07],[1.76784407e-01 7.23683233e-07 1.08113736e-06]
[0.02332865 0.00682721 0.96984404],[5.90113829e-02 1.51603948e-06 4.29290171e-07],[1.66909396e-01 4.28800718e-06 1.21421596e-06]
[0.3014894  0.00987874 0.6886319 ],[0.00066757 0.05795461 0.00382322],[0.00188818 0.16392038 0.01081371]
[0.02228819 0.03256445 0.94514734],[6.53678642e-02 3.10606580e-07 2.85919620e-07],[1.84888240e-01 8.78528077e-07 8.08702808e-07]
[0.01215933 0.29740176 0.6904389 ],[3.43036403e-02 5.69425116e-05 1.46308906e-03],[0.09702535 0.00016106 0.00413824]
[0.02814147 0.01186592 0.9599926 ],[6.46547860e-02 6.82486871e-07 1.53920756e-06],[1.82871351e-01 1.93036438e-06 4.35353640e-06]
[0.03111194 0.01488032 0.95400774],[6.72292261e-02 4.76258490e-07 4.26509461e-07],[1.90152967e-01 1.34706243e-06 1.20635093e-06]
[0.01497045 0.01302453 0.97200507],[5.99146353e-02 1.09815553e-07 1.15707153e-07],[1.6946418e-01 3.1060529e-07 3.2726925e-07]
[0.01178428 0.01586294 0.9723528 ],[6.09753624e-02 3.01570314e-07 6.69534360e-07],[1.72464369e-01 8.52969656e-07 1.89372914e-06]
[0.02553422 0.3116594  0.6628064 ],[0.00192185 0.00251695 0.10119387],[0.0054358  0.007119   0.28621948]
[0.11155076 0.07798895 0.81046027],[8.60394729e-02 9.27252623e-05 5.47408497e-05],[2.43356379e-01 2.62266647e-04 1.54830504e-04]
[0.00879612 0.3751093  0.6160946 ],[0.01253224 0.00014504 0.01136812],[0.03544654 0.00041022 0.03215391]
[0.02819221 0.02002988 0.95177794],[6.55729688e-02 7.92094840e-07 1.75494159e-06],[1.85468363e-01 2.24038253e-06 4.96372441e-06]
[0.13987432 0.02363466 0.83649105],[3.66299573e-02 3.62881002e-04 1.19801356e-05],[1.03605165e-01 1.02638247e-03 3.38849405e-05]
[0.04600253 0.02366756 0.9303299 ],[6.95283842e-02 5.48852527e-07 5.50835392e-07],[1.96655968e-01 1.55238937e-06 1.55799776e-06]
[0.06153743 0.1378524  0.8006102 ],[8.77352919e-02 2.99255457e-05 3.93725797e-05],[2.48152879e-01 8.46422251e-05 1.11362472e-04]
[0.0263347  0.12724507 0.8464203 ],[7.73339066e-02 4.27584825e-06 3.21828433e-06],[2.18733319e-01 1.20939252e-05 9.10268268e-06]
[0.00481136 0.10063874 0.8945499 ],[6.98316864e-02 1.16163927e-06 8.40209309e-07],[1.97513836e-01 3.28561203e-06 2.37647080e-06]
[0.01837718 0.02147592 0.96014684],[5.71611637e-02 6.95849594e-07 3.75683658e-06],[1.61676186e-01 1.96815987e-06 1.06259385e-05]
[0.04669663 0.0182762  0.93502724],[7.16883074e-02 1.55403671e-06 2.51181221e-06],[2.02765153e-01 4.39547957e-06 7.10447778e-06]
[0.00700361 0.00890773 0.98408866],[6.05858355e-02 1.38772678e-07 1.27246725e-07],[1.71362621e-01 3.92508407e-07 3.59908089e-07]
[0.41364434 0.01487979 0.57147586],[0.00803387 0.02496274 0.00029254],[0.02272321 0.07060528 0.00082741]
[0.01056496 0.25062403 0.738811  ],[0.01164756 0.00019641 0.01451453],[0.03294428 0.00055552 0.04105328]
[0.94385964 0.00500554 0.05113485],[2.10730149e-06 1.20744339e-05 5.98625076e-02],[5.96034869e-06 3.41516563e-05 1.69316740e-01]
[0.02465295 0.09783296 0.8775142 ],[6.59295231e-02 3.63576087e-07 4.32818889e-07],[1.86476851e-01 1.02834847e-06 1.22419668e-06]
[0.6393137  0.01430776 0.34637856],[1.08954175e-05 3.74382068e-04 3.51659345e-02],[3.08168944e-05 1.05891240e-03 9.94642831e-02]
[0.00718667 0.01598248 0.97683084],[6.03743468e-02 1.30228973e-07 1.53188329e-07],[1.70764440e-01 3.68343160e-07 4.33282025e-07]
[0.04282915 0.00517509 0.9519957 ],[6.52185793e-02 4.77498814e-07 8.00731344e-07],[1.84465999e-01 1.35057060e-06 2.26481025e-06]
[0.00889836 0.01041905 0.9806826 ],[6.21367426e-02 1.52023699e-07 1.52308988e-07],[1.75749248e-01 4.29987954e-07 4.30794873e-07]
[0.04814745 0.02645543 0.9253971 ],[6.22025779e-02 3.93674900e-07 2.54597144e-07],[1.75935458e-01 1.11348076e-06 7.20109469e-07]
[0.10383487 0.03623606 0.8599291 ],[4.11895103e-02 7.86060948e-04 4.21896355e-05],[0.11650153 0.00222332 0.00011933]
[0.01554198 0.01637812 0.9680799 ],[6.24217166e-02 2.47861426e-07 1.96274857e-07],[1.76555276e-01 7.01057982e-07 5.55149130e-07]
[0.07427294 0.07467634 0.85105073],[8.37502227e-02 1.83696107e-05 2.75081140e-05],[2.36881402e-01 5.19571053e-05 7.78046959e-05]
[0.09772646 0.03524222 0.86703134],[3.47355728e-02 6.79605727e-04 2.21212815e-05],[9.82470362e-02 1.92221527e-03 6.25684325e-05]
[0.00803171 0.5028482  0.48912013],[0.00051797 0.00490405 0.04559686],[0.00146504 0.01387075 0.12896741]
[0.02678063 0.02223352 0.95098585],[6.95047456e-02 8.72064117e-07 1.28727204e-06],[1.96589108e-01 2.46656980e-06 3.64095516e-06]
[0.02517507 0.01716884 0.957656  ],[6.20480660e-02 4.67422487e-07 1.15061130e-06],[1.75498433e-01 1.32207044e-06 3.25442020e-06]
[0.5365898  0.02207818 0.441332  ],[0.00068344 0.0395039  0.00760152],[0.00193306 0.1117339  0.02150035]
[0.01771929 0.4851193  0.4971614 ],[3.95496279e-05 2.30249408e-02 2.25465334e-03],[0.00011186 0.06512437 0.00637712]
[0.02541135 0.40813464 0.56645405],[0.00901349 0.00284171 0.06895208],[0.02549401 0.00803756 0.19502592]
[0.00707748 0.44405806 0.5488645 ],[0.00538214 0.00051184 0.04309242],[0.01522298 0.00144769 0.12188377]
[0.02791747 0.01190995 0.96017253],[6.32124227e-02 3.31776255e-07 2.48327863e-07],[1.78791731e-01 9.38404959e-07 7.02377262e-07]
[0.04254694 0.0360366  0.9214165 ],[6.97523360e-02 6.45044935e-07 6.05987937e-07],[1.97289399e-01 1.82446259e-06 1.71399272e-06]
[0.05120889 0.0351073  0.91368383],[7.06831348e-02 5.66481874e-06 2.52342288e-06],[1.99922096e-01 1.60225270e-05 7.13731773e-06]
[0.15889996 0.11511102 0.72598904],[8.29323594e-02 8.67473295e-05 1.85618642e-04],[0.23456813 0.00024536 0.00052501]
[0.016744   0.01034272 0.97291327],[5.98404109e-02 1.97642683e-07 1.40620857e-07],[1.69254241e-01 5.59017926e-07 3.97735847e-07]
[0.11816534 0.13657328 0.74526143],[6.40763218e-02 2.39122166e-04 4.26485885e-05],[1.81235207e-01 6.76339619e-04 1.20628424e-04]
[0.07395172 0.08988874 0.8361596 ],[7.98577030e-02 2.48752671e-05 1.33947873e-05],[2.25871693e-01 7.03578801e-05 3.78861797e-05]
[0.00759532 0.7387673  0.2536373 ],[0.00034305 0.00746468 0.02869326],[0.00097029 0.02111332 0.08115678]
[0.02631068 0.01643175 0.95725757],[6.22384478e-02 6.38357919e-07 3.26678574e-07],[1.76036914e-01 1.80554885e-06 9.23986540e-07]
[0.01536573 0.4033852  0.5812491 ],[0.00415783 0.00049724 0.04935337],[0.01176011 0.0014064  0.1395924 ]
[0.02119474 0.51584995 0.46295536],[0.00013092 0.01629934 0.00796378],[0.00037029 0.0461015  0.02252497]
[0.07681727 0.01085099 0.9123317 ],[6.38314385e-02 3.67670251e-07 2.78363378e-07],[1.80542572e-01 1.03992851e-06 7.87330528e-07]
[0.04139339 0.13754119 0.8210654 ],[4.71723286e-02 1.05706567e-05 1.65444916e-04],[1.33423494e-01 2.98983322e-05 4.67948887e-04]
[0.06062533 0.06490659 0.874468  ],[6.88367978e-02 1.85434662e-05 7.53923706e-05],[1.94699866e-01 5.24488427e-05 2.13241826e-04]
[0.01778709 0.35974824 0.62246466],[0.00406372 0.00115164 0.07034549],[0.01149392 0.00325732 0.19896709]
[0.00774131 0.26736853 0.72489023],[5.81507116e-02 8.91399670e-06 6.95795433e-05],[1.64475050e-01 2.52125901e-05 1.96800668e-04]
[0.02268371 0.6115389  0.3657774 ],[0.00741809 0.0015021  0.05751314],[0.02098152 0.00424859 0.16267173]
[0.03368591 0.2183929  0.7479212 ],[0.00143265 0.0022162  0.09596909],[0.00405215 0.00626837 0.27144157]
[0.01593911 0.01053457 0.97352624],[6.05768071e-02 1.61437447e-07 1.35598893e-07],[1.71337084e-01 4.56614055e-07 3.83531588e-07]
[0.04813584 0.2297116  0.7221526 ],[0.02920492 0.00012707 0.00353863],[0.08260397 0.00035941 0.01000875]
[0.07763706 0.01758411 0.90477884],[6.25296937e-02 2.09161604e-06 7.03048034e-07],[1.76860682e-01 5.91598355e-06 1.98852013e-06]
[0.07772211 0.02264949 0.89962834],[6.38413139e-02 4.99238782e-06 1.41400016e-06],[1.80570504e-01 1.41206051e-05 3.99939640e-06]
[0.07421344 0.1147243  0.8110623 ],[6.59058835e-02 6.24159637e-05 3.15604670e-04],[1.86409988e-01 1.76539005e-04 8.92664808e-04]
[0.05783689 0.05244471 0.88971835],[6.45270271e-02 9.07454064e-06 2.33645907e-06],[1.82509994e-01 2.56666769e-05 6.60850422e-06]
[0.03868628 0.04182139 0.91949236],[6.78370261e-02 7.83296585e-07 1.29286213e-06],[1.91872085e-01 2.21549731e-06 3.65676631e-06]
[0.06406347 0.10720298 0.82873356],[7.26361050e-02 1.03650676e-05 4.42382363e-06],[2.05445930e-01 2.93168383e-05 1.25124628e-05]
